2017-10-10,西南证券,603866,桃李面包,"推荐桃李面包:三季报略超市场预期,区域扩张持续进行",webcache\20171010\webcache-20180303024642.html,sina,
2017-10-10,东北证券,000061,农产品,"农产品继续调整,咖啡和豆油继续大跌,跌幅均超4%,主要农产品只有玉米上涨0",webcache\20171010\webcache-20180303024643.html,sina,
2017-10-10,申万宏源,300128,锦富技术,"我们覆盖的公司中继续首推高弹性的锦富技术,googlehome国庆期间在美国发布,锦富技术的智能家居产品在多数功能上对标googlehome且在中国进入到商业落地阶段;且三季报同比继续大幅好转,同比大幅增长2049%-2407%",webcache\20171010\webcache-20180303024646.html,sina,
2017-10-10,申万宏源,603579,荣泰健康,"我们认为情绪较高的情况下高弹性次新股也可以阶段性关注,推荐富瀚微、英博尔、星云股份、荣泰健康",webcache\20171010\webcache-20180303024646.html,sina,
2017-10-10,申万宏源,300613,富瀚微,"我们认为情绪较高的情况下高弹性次新股也可以阶段性关注,推荐富瀚微、英博尔、星云股份、荣泰健康",webcache\20171010\webcache-20180303024646.html,sina,
2017-10-10,申万宏源,300648,星云股份,"我们认为情绪较高的情况下高弹性次新股也可以阶段性关注,推荐富瀚微、英博尔、星云股份、荣泰健康",webcache\20171010\webcache-20180303024646.html,sina,
2017-10-10,申万宏源,603579,荣泰健康,"我们认为情绪较高的情况下高弹性次新股也可以阶段性关注,推荐富瀚微、英博尔、星云股份、荣泰健康",webcache\20171010\webcache-20180303024646.html,sina,
2017-10-10,申万宏源,300613,富瀚微,"我们认为情绪较高的情况下高弹性次新股也可以阶段性关注,推荐富瀚微、英博尔、星云股份、荣泰健康",webcache\20171010\webcache-20180303024646.html,sina,
2017-10-10,申万宏源,300648,星云股份,"我们认为情绪较高的情况下高弹性次新股也可以阶段性关注,推荐富瀚微、英博尔、星云股份、荣泰健康",webcache\20171010\webcache-20180303024646.html,sina,
2017-10-10,申万宏源,000839,中信国安,"主题方面,我们较早提示360借壳概念股,有望在10月落地,推荐关注中信国安等",webcache\20171010\webcache-20180303024646.html,sina,
2017-10-10,申万宏源,000839,中信国安,"主题方面,我们较早提示360借壳概念股,有望在10月落地,推荐关注中信国安等",webcache\20171010\webcache-20180303024646.html,sina,
2017-10-10,申万宏源,600150,中国船舶,"   
    另外重大事件上关注:(1)9月26日晚间,中国船舶、中船防务发布公告称,控股股东中国船舶工业集团公司正在筹划重大事项,公告称可能涉及资产重组",webcache\20171010\webcache-20180303024646.html,sina,
2017-10-10,申万宏源,600685,中船防务,"   
    另外重大事件上关注:(1)9月26日晚间,中国船舶、中船防务发布公告称,控股股东中国船舶工业集团公司正在筹划重大事项,公告称可能涉及资产重组",webcache\20171010\webcache-20180303024646.html,sina,
2017-10-10,申万宏源,603660,苏州科达,"AI方面继续推荐下游应用领域的安防小龙头苏州科达,中报超预期后三季报持续看好",webcache\20171010\webcache-20180303024646.html,sina,
2017-10-10,申万宏源,002126,银轮股份,"另外,稳健成长继续推荐银轮股份",webcache\20171010\webcache-20180303024646.html,sina,
2017-10-10,申万宏源,600562,国睿科技,"军民融合作为军工板块投资的另一重大方向,我们认为:军转民方向,建议关注电子、信息网络、新材料等方向的体制内军工企业(国睿科技、航天通信、中航光电等);民参军领域,建议关注技术领先+渠道资源(用于军工背景)的民营企业(星网宇达、晨曦航空等)",webcache\20171010\webcache-20180303024646.html,sina,
2017-10-10,申万宏源,600677,航天通信,"军民融合作为军工板块投资的另一重大方向,我们认为:军转民方向,建议关注电子、信息网络、新材料等方向的体制内军工企业(国睿科技、航天通信、中航光电等);民参军领域,建议关注技术领先+渠道资源(用于军工背景)的民营企业(星网宇达、晨曦航空等)",webcache\20171010\webcache-20180303024646.html,sina,
2017-10-10,申万宏源,002179,中航光电,"军民融合作为军工板块投资的另一重大方向,我们认为:军转民方向,建议关注电子、信息网络、新材料等方向的体制内军工企业(国睿科技、航天通信、中航光电等);民参军领域,建议关注技术领先+渠道资源(用于军工背景)的民营企业(星网宇达、晨曦航空等)",webcache\20171010\webcache-20180303024646.html,sina,
2017-10-10,申万宏源,002829,星网宇达,"军民融合作为军工板块投资的另一重大方向,我们认为:军转民方向,建议关注电子、信息网络、新材料等方向的体制内军工企业(国睿科技、航天通信、中航光电等);民参军领域,建议关注技术领先+渠道资源(用于军工背景)的民营企业(星网宇达、晨曦航空等)",webcache\20171010\webcache-20180303024646.html,sina,
2017-10-10,申万宏源,300581,晨曦航空,"军民融合作为军工板块投资的另一重大方向,我们认为:军转民方向,建议关注电子、信息网络、新材料等方向的体制内军工企业(国睿科技、航天通信、中航光电等);民参军领域,建议关注技术领先+渠道资源(用于军工背景)的民营企业(星网宇达、晨曦航空等)",webcache\20171010\webcache-20180303024646.html,sina,
2017-10-10,申万宏源,600562,国睿科技,"军民融合作为军工板块投资的另一重大方向,我们认为:军转民方向,建议关注电子、信息网络、新材料等方向的体制内军工企业(国睿科技、航天通信、中航光电等);民参军领域,建议关注技术领先+渠道资源(用于军工背景)的民营企业(星网宇达、晨曦航空等)",webcache\20171010\webcache-20180303024646.html,sina,
2017-10-10,申万宏源,600677,航天通信,"军民融合作为军工板块投资的另一重大方向,我们认为:军转民方向,建议关注电子、信息网络、新材料等方向的体制内军工企业(国睿科技、航天通信、中航光电等);民参军领域,建议关注技术领先+渠道资源(用于军工背景)的民营企业(星网宇达、晨曦航空等)",webcache\20171010\webcache-20180303024646.html,sina,
2017-10-10,申万宏源,002179,中航光电,"军民融合作为军工板块投资的另一重大方向,我们认为:军转民方向,建议关注电子、信息网络、新材料等方向的体制内军工企业(国睿科技、航天通信、中航光电等);民参军领域,建议关注技术领先+渠道资源(用于军工背景)的民营企业(星网宇达、晨曦航空等)",webcache\20171010\webcache-20180303024646.html,sina,
2017-10-10,申万宏源,002829,星网宇达,"军民融合作为军工板块投资的另一重大方向,我们认为:军转民方向,建议关注电子、信息网络、新材料等方向的体制内军工企业(国睿科技、航天通信、中航光电等);民参军领域,建议关注技术领先+渠道资源(用于军工背景)的民营企业(星网宇达、晨曦航空等)",webcache\20171010\webcache-20180303024646.html,sina,
