2017-10-11,长雄证券  ,600570,恒生电子 ,推荐恒生电子:A股入摩专栏                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939278/index.phtml,sina,
2017-10-11,国金证券  ,603599,广信股份 ,推荐广信股份优质成长股系列报告之二:立足光气产业链加码定增引领公司未来成长                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939266/index.phtml,sina,
2017-10-11,川财证券  ,601139,深圳燃气 ,"
    深圳燃气(601139):公司发布前三季度业绩快报,归属于上市公司股东的净利润7.93亿元,同比增长5.92%"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939254/index.phtml,sina,
2017-10-11,华安证券  ,603568,伟明环保 ,关注水环境治理板块的【东方园林】、【碧水源】、【国祯环保】以及垃圾焚烧板块的【伟明环保】                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939252/index.phtml,sina,
2017-10-11,华安证券  ,002310,东方园林 ,关注水环境治理板块的【东方园林】、【碧水源】、【国祯环保】以及垃圾焚烧板块的【伟明环保】                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939252/index.phtml,sina,
2017-10-11,华安证券  ,300070,碧水源  ,关注水环境治理板块的【东方园林】、【碧水源】、【国祯环保】以及垃圾焚烧板块的【伟明环保】                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939252/index.phtml,sina,
2017-10-11,华安证券  ,300388,国祯环保 ,关注水环境治理板块的【东方园林】、【碧水源】、【国祯环保】以及垃圾焚烧板块的【伟明环保】                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939252/index.phtml,sina,
2017-10-11,华安证券  ,603686,龙马环卫 ,"我们看好处在成长期的环保子版块,关注三季报业绩增长和项目落地情况:非电领域治理与监测、煤改气、VOCs治理、环卫、再生资源,推荐【清新环境】、【先河环保】、【迪森股份】、【启迪桑德】、【龙马环卫】"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939252/index.phtml,sina,
2017-10-11,华安证券  ,000826,启迪桑德 ,"我们看好处在成长期的环保子版块,关注三季报业绩增长和项目落地情况:非电领域治理与监测、煤改气、VOCs治理、环卫、再生资源,推荐【清新环境】、【先河环保】、【迪森股份】、【启迪桑德】、【龙马环卫】"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939252/index.phtml,sina,
2017-10-11,华安证券  ,002573,清新环境 ,"我们看好处在成长期的环保子版块,关注三季报业绩增长和项目落地情况:非电领域治理与监测、煤改气、VOCs治理、环卫、再生资源,推荐【清新环境】、【先河环保】、【迪森股份】、【启迪桑德】、【龙马环卫】"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939252/index.phtml,sina,
2017-10-11,华安证券  ,300137,先河环保 ,"我们看好处在成长期的环保子版块,关注三季报业绩增长和项目落地情况:非电领域治理与监测、煤改气、VOCs治理、环卫、再生资源,推荐【清新环境】、【先河环保】、【迪森股份】、【启迪桑德】、【龙马环卫】"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3939252/index.phtml,sina,
