2017-10-18,信达证券    ,002121,科陆电子 ,"
    建议关注标的:猛狮科技、科陆电子、南都电源、阳光电源、圣阳股份"                                                                                                                                                                                                                                                                                                                                                                                                            ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3949009/index.phtml,sina,
2017-10-18,信达证券    ,002580,圣阳股份 ,"
    建议关注标的:猛狮科技、科陆电子、南都电源、阳光电源、圣阳股份"                                                                                                                                                                                                                                                                                                                                                                                                            ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3949009/index.phtml,sina,
2017-10-18,信达证券    ,002684,猛狮科技 ,"
    建议关注标的:猛狮科技、科陆电子、南都电源、阳光电源、圣阳股份"                                                                                                                                                                                                                                                                                                                                                                                                            ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3949009/index.phtml,sina,
2017-10-18,信达证券    ,300068,南都电源 ,"
    建议关注标的:猛狮科技、科陆电子、南都电源、阳光电源、圣阳股份"                                                                                                                                                                                                                                                                                                                                                                                                            ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3949009/index.phtml,sina,
2017-10-18,信达证券    ,300274,阳光电源 ,"
    建议关注标的:猛狮科技、科陆电子、南都电源、阳光电源、圣阳股份"                                                                                                                                                                                                                                                                                                                                                                                                            ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3949009/index.phtml,sina,
2017-10-18,天风证券    ,600153,建发股份 ,"
    投资建议党的“十九大”后改革进程有望持续纵深推进,我们期待福建、厦门自贸区配套政策扶持力度持续强化,并持续看好预期的厦门港区资源整合,推荐安通控股,建发股份、厦门空港,关注厦门港务"                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948972/index.phtml,sina,
2017-10-18,天风证券    ,600179,安通控股 ,"
    投资建议党的“十九大”后改革进程有望持续纵深推进,我们期待福建、厦门自贸区配套政策扶持力度持续强化,并持续看好预期的厦门港区资源整合,推荐安通控股,建发股份、厦门空港,关注厦门港务"                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948972/index.phtml,sina,
2017-10-18,天风证券    ,600897,厦门空港 ,"
    投资建议党的“十九大”后改革进程有望持续纵深推进,我们期待福建、厦门自贸区配套政策扶持力度持续强化,并持续看好预期的厦门港区资源整合,推荐安通控股,建发股份、厦门空港,关注厦门港务"                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948972/index.phtml,sina,
2017-10-18,天风证券    ,000905,厦门港务 ,"
    投资建议党的“十九大”后改革进程有望持续纵深推进,我们期待福建、厦门自贸区配套政策扶持力度持续强化,并持续看好预期的厦门港区资源整合,推荐安通控股,建发股份、厦门空港,关注厦门港务"                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948972/index.phtml,sina,
2017-10-18,天风证券    ,600153,建发股份 ,"
    投资建议党的“十九大”后改革进程有望持续纵深推进,我们期待福建、厦门自贸区配套政策扶持力度持续强化,并持续看好预期的厦门港区资源整合,推荐安通控股,建发股份、厦门空港,关注厦门港务"                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948972/index.phtml,sina,
2017-10-18,天风证券    ,600179,安通控股 ,"
    投资建议党的“十九大”后改革进程有望持续纵深推进,我们期待福建、厦门自贸区配套政策扶持力度持续强化,并持续看好预期的厦门港区资源整合,推荐安通控股,建发股份、厦门空港,关注厦门港务"                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3948972/index.phtml,sina,
