2017-11-01,信达证券      ,601899,紫金矿业 ,"推荐紫金矿业:财务费用增加拖累业绩,海外矿山即将发力"                                                                                                                                                                                                                                                                                                                             ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966617/index.phtml,sina,
2017-11-01,西南证券      ,603160,汇顶科技 ,"
    我们坚定看好国产芯片行业的崛起,并结合产业链的分析,建议重点关注细分领域行业格局较为明朗、受益逻辑确定性较高的子行业以及相关龙头上市公司:(1)芯片设计环节:兆易创新、汇顶科技"                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966615/index.phtml,sina,
2017-11-01,西南证券      ,603986,兆易创新 ,"
    我们坚定看好国产芯片行业的崛起,并结合产业链的分析,建议重点关注细分领域行业格局较为明朗、受益逻辑确定性较高的子行业以及相关龙头上市公司:(1)芯片设计环节:兆易创新、汇顶科技"                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966615/index.phtml,sina,
2017-11-01,西南证券      ,603160,汇顶科技 ,"
    我们坚定看好国产芯片行业的崛起,并结合产业链的分析,建议重点关注细分领域行业格局较为明朗、受益逻辑确定性较高的子行业以及相关龙头上市公司:(1)芯片设计环节:兆易创新、汇顶科技"                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966615/index.phtml,sina,
2017-11-01,西南证券      ,603986,兆易创新 ,"
    我们坚定看好国产芯片行业的崛起,并结合产业链的分析,建议重点关注细分领域行业格局较为明朗、受益逻辑确定性较高的子行业以及相关龙头上市公司:(1)芯片设计环节:兆易创新、汇顶科技"                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966615/index.phtml,sina,
2017-11-01,财富证券      ,002258,利尔化学 ,"推荐利尔化学:Q3归母净利润同比增115%,内生外延双轮驱动公司长远发展"                                                                                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966613/index.phtml,sina,
2017-11-01,西南证券      ,600426,华鲁恒升 ,"推荐华鲁恒升:低成本煤化工平台,乙二醇打开未来成长空间"                                                                                                                                                                                                                                                                                                                            ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966609/index.phtml,sina,
2017-11-01,信达证券      ,603338,浙江鼎力 ,推荐机械行业:浙江鼎力                                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966607/index.phtml,sina,
2017-11-01,财富证券      ,002518,科士达  ,"推荐科士达:业绩稳定增长,净资产收益率提升"                                                                                                                                                                                                                                                                                                                                  ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966604/index.phtml,sina,
2017-11-01,财富证券      ,002518,科士达  ,"推荐科士达:业绩稳定增长,净资产收益率提升"                                                                                                                                                                                                                                                                                                                                  ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966604/index.phtml,sina,
2017-11-01,信达证券      ,600728,佳都科技 ,"推荐佳都科技:全年业绩高增长可期,费用管控成效凸显"                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966600/index.phtml,sina,
2017-11-01,信达证券      ,600728,佳都科技 ,"推荐佳都科技:全年业绩高增长可期,费用管控成效凸显"                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966600/index.phtml,sina,
2017-11-01,长城证券      ,600352,浙江龙盛 ,"我们预计浙江龙盛2017年至2019年归属母公司净利润分别为25.2亿元、35.6亿元、42.6亿元,对应EPS分别为0.78元、1.10元、1.31元,对应PE为13.4、9.5、7.9,维持“强烈推荐”评级"                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966598/index.phtml,sina,
2017-11-01,长城证券      ,600352,浙江龙盛 ,"推荐浙江龙盛公司动态点评:主营业务稳定,股权投资收益显现"                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966598/index.phtml,sina,
2017-11-01,国海证券      ,601369,陕鼓动力 ,"推荐陕鼓动力事件点评:三季度业绩大幅增长,布局分布式能源发展可期"                                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966590/index.phtml,sina,
2017-11-01,国海证券      ,601369,陕鼓动力 ,"推荐陕鼓动力事件点评:三季度业绩大幅增长,布局分布式能源发展可期"                                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966590/index.phtml,sina,
2017-11-01,天风证券      ,600009,上海机场 ,"
    上海机场披露三季报,前三季度营业收入60.09亿,同比增长14.90%,实现归母净利润26.92亿,同比增长27.91%,基本每股收益1.40元"                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966580/index.phtml,sina,
2017-11-01,天风证券      ,600009,上海机场 ,"目前上海机场成本端稳定增长,前三季度增速为7.42%,低于收入增速7.48个百分点,其中三季度增速7.14%,低于收入增速达8.09个百分点,大幅提高毛利水平,前三季度公司毛利率达到48.23%,同比提高3.77个百分点"                                                                                                                                                                                                                                         ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966580/index.phtml,sina,
2017-11-01,天风证券      ,600009,上海机场 ,"推荐上海机场:非航拉动利润增速喜人,继续坚定看好枢纽机场价值"                                                                                                                                                                                                                                                                                                                         ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966580/index.phtml,sina,
2017-11-01,国联证券      ,000807,云铝股份 ,"推荐云铝股份:水电优势凸显,产能持续扩张"                                                                                                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966578/index.phtml,sina,
2017-11-01,国联证券      ,000807,云铝股份 ,"推荐云铝股份:水电优势凸显,产能持续扩张"                                                                                                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966578/index.phtml,sina,
2017-11-01,广发证券      ,000926,福星股份 ,"推荐福星股份:冲出武汉,布局全国"                                                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966576/index.phtml,sina,
2017-11-01,银河证券      ,300516,久之洋  ,"推荐久之洋:短期业绩低迷,看好公司中长期发展潜力"                                                                                                                                                                                                                                                                                                                               ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966570/index.phtml,sina,
2017-11-01,天风证券      ,601111,中国国航 ,"推荐中国国航:主业汇率双助推,旺季业绩兑现"                                                                                                                                                                                                                                                                                                                                  ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966567/index.phtml,sina,
2017-11-01,天风证券      ,300630,普利制药 ,"推荐普利制药:业绩增速略超预期,双轮驱动静待加速成长"                                                                                                                                                                                                                                                                                                                             ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966564/index.phtml,sina,
2017-11-01,天风证券      ,300630,普利制药 ,"推荐普利制药:业绩增速略超预期,双轮驱动静待加速成长"                                                                                                                                                                                                                                                                                                                             ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966564/index.phtml,sina,
2017-11-01,国联证券      ,002202,金风科技 ,"推荐金风科技:风电场业务开拓加速,风机业务将迎拐点"                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966558/index.phtml,sina,
2017-11-01,国联证券      ,002202,金风科技 ,"推荐金风科技:风电场业务开拓加速,风机业务将迎拐点"                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966558/index.phtml,sina,
2017-11-01,东北证券      ,300024,机器人  ,"2017年前三季度中国工业机器人产量增长69.4%,进一步体现新经济将成为重要支撑"                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966554/index.phtml,sina,
2017-11-01,东北证券      ,300024,机器人  ,"
    点评:
    机器换人大势所趋,工业机器人下游应用加速:2016年中国工业机器人市场销量持续增长,全年累计销售88,992台,同比增长26"                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966554/index.phtml,sina,
2017-11-01,东北证券      ,300024,机器人  ,"
    点评:
    机器换人大势所趋,工业机器人下游应用加速:2016年中国工业机器人市场销量持续增长,全年累计销售88,992台,同比增长26"                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966554/index.phtml,sina,
2017-11-01,东北证券      ,300024,机器人  ,"推荐拓斯达:智能制造浪潮来袭,机器人新星表现亮眼"                                                                                                                                                                                                                                                                                                                               ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3966554/index.phtml,sina,
