2017-11-02,太平洋证券,000799,酒鬼酒,推荐酒鬼酒:中高端酒继续保持良好势头,webcache\20171102\webcache-20180303020146.html,sina,
2017-11-02,财富证券,002020,京新药业,"推荐京新药业:业绩增速提升,关注一致性评价进展",webcache\20171102\webcache-20180303020147.html,sina,
2017-11-02,财富证券,002020,京新药业,"推荐京新药业:业绩增速提升,关注一致性评价进展",webcache\20171102\webcache-20180303020147.html,sina,
2017-11-02,平安证券,600438,通威股份,"   
    11月重点组合关注:金风科技、通威股份、广联达、国睿科技、通策医疗、润达医疗、碧水源、美的集团、伊利股份以及中国国航",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,平安证券,600562,国睿科技,"   
    11月重点组合关注:金风科技、通威股份、广联达、国睿科技、通策医疗、润达医疗、碧水源、美的集团、伊利股份以及中国国航",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,平安证券,600763,通策医疗,"   
    11月重点组合关注:金风科技、通威股份、广联达、国睿科技、通策医疗、润达医疗、碧水源、美的集团、伊利股份以及中国国航",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,平安证券,600887,伊利股份,"   
    11月重点组合关注:金风科技、通威股份、广联达、国睿科技、通策医疗、润达医疗、碧水源、美的集团、伊利股份以及中国国航",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,平安证券,601111,中国国航,"   
    11月重点组合关注:金风科技、通威股份、广联达、国睿科技、通策医疗、润达医疗、碧水源、美的集团、伊利股份以及中国国航",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,平安证券,603108,润达医疗,"   
    11月重点组合关注:金风科技、通威股份、广联达、国睿科技、通策医疗、润达医疗、碧水源、美的集团、伊利股份以及中国国航",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,平安证券,000333,美的集团,"   
    11月重点组合关注:金风科技、通威股份、广联达、国睿科技、通策医疗、润达医疗、碧水源、美的集团、伊利股份以及中国国航",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,平安证券,002202,金风科技,"   
    11月重点组合关注:金风科技、通威股份、广联达、国睿科技、通策医疗、润达医疗、碧水源、美的集团、伊利股份以及中国国航",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,平安证券,002410,广联达,"   
    11月重点组合关注:金风科技、通威股份、广联达、国睿科技、通策医疗、润达医疗、碧水源、美的集团、伊利股份以及中国国航",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,平安证券,300070,碧水源,"   
    11月重点组合关注:金风科技、通威股份、广联达、国睿科技、通策医疗、润达医疗、碧水源、美的集团、伊利股份以及中国国航",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,西南证券,600426,华鲁恒升,"   
    投资策略:1、建议关注业绩增长稳健的电子、消费、机械等行业,适当关注业绩反转的纺织服装、有催化剂的通信等行业;2、继续聚焦业绩增长稳健的各行业龙头,建议关注利亚德(300296)、华鲁恒升(600426)、亨通光电(600487)、汇川技术(300124)等;3、关注次新股中行业空间较大、业绩增速较好的公司,如亿联网络(300628)、电连技术(300679)、联合光电(300691)、三利谱(002876)等",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,西南证券,600487,亨通光电,"   
    投资策略:1、建议关注业绩增长稳健的电子、消费、机械等行业,适当关注业绩反转的纺织服装、有催化剂的通信等行业;2、继续聚焦业绩增长稳健的各行业龙头,建议关注利亚德(300296)、华鲁恒升(600426)、亨通光电(600487)、汇川技术(300124)等;3、关注次新股中行业空间较大、业绩增速较好的公司,如亿联网络(300628)、电连技术(300679)、联合光电(300691)、三利谱(002876)等",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,西南证券,002876,三利谱,"   
    投资策略:1、建议关注业绩增长稳健的电子、消费、机械等行业,适当关注业绩反转的纺织服装、有催化剂的通信等行业;2、继续聚焦业绩增长稳健的各行业龙头,建议关注利亚德(300296)、华鲁恒升(600426)、亨通光电(600487)、汇川技术(300124)等;3、关注次新股中行业空间较大、业绩增速较好的公司,如亿联网络(300628)、电连技术(300679)、联合光电(300691)、三利谱(002876)等",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,西南证券,300124,汇川技术,"   
    投资策略:1、建议关注业绩增长稳健的电子、消费、机械等行业,适当关注业绩反转的纺织服装、有催化剂的通信等行业;2、继续聚焦业绩增长稳健的各行业龙头,建议关注利亚德(300296)、华鲁恒升(600426)、亨通光电(600487)、汇川技术(300124)等;3、关注次新股中行业空间较大、业绩增速较好的公司,如亿联网络(300628)、电连技术(300679)、联合光电(300691)、三利谱(002876)等",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,西南证券,300296,利亚德,"   
    投资策略:1、建议关注业绩增长稳健的电子、消费、机械等行业,适当关注业绩反转的纺织服装、有催化剂的通信等行业;2、继续聚焦业绩增长稳健的各行业龙头,建议关注利亚德(300296)、华鲁恒升(600426)、亨通光电(600487)、汇川技术(300124)等;3、关注次新股中行业空间较大、业绩增速较好的公司,如亿联网络(300628)、电连技术(300679)、联合光电(300691)、三利谱(002876)等",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,西南证券,300628,亿联网络,"   
    投资策略:1、建议关注业绩增长稳健的电子、消费、机械等行业,适当关注业绩反转的纺织服装、有催化剂的通信等行业;2、继续聚焦业绩增长稳健的各行业龙头,建议关注利亚德(300296)、华鲁恒升(600426)、亨通光电(600487)、汇川技术(300124)等;3、关注次新股中行业空间较大、业绩增速较好的公司,如亿联网络(300628)、电连技术(300679)、联合光电(300691)、三利谱(002876)等",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,西南证券,300679,电连技术,"   
    投资策略:1、建议关注业绩增长稳健的电子、消费、机械等行业,适当关注业绩反转的纺织服装、有催化剂的通信等行业;2、继续聚焦业绩增长稳健的各行业龙头,建议关注利亚德(300296)、华鲁恒升(600426)、亨通光电(600487)、汇川技术(300124)等;3、关注次新股中行业空间较大、业绩增速较好的公司,如亿联网络(300628)、电连技术(300679)、联合光电(300691)、三利谱(002876)等",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,西南证券,300691,联合光电,"   
    投资策略:1、建议关注业绩增长稳健的电子、消费、机械等行业,适当关注业绩反转的纺织服装、有催化剂的通信等行业;2、继续聚焦业绩增长稳健的各行业龙头,建议关注利亚德(300296)、华鲁恒升(600426)、亨通光电(600487)、汇川技术(300124)等;3、关注次新股中行业空间较大、业绩增速较好的公司,如亿联网络(300628)、电连技术(300679)、联合光电(300691)、三利谱(002876)等",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,西南证券,600426,华鲁恒升,"   
    投资策略:1、建议关注业绩增长稳健的电子、消费、机械等行业,适当关注业绩反转的纺织服装、有催化剂的通信等行业;2、继续聚焦业绩增长稳健的各行业龙头,建议关注利亚德(300296)、华鲁恒升(600426)、亨通光电(600487)、汇川技术(300124)等;3、关注次新股中行业空间较大、业绩增速较好的公司,如亿联网络(300628)、电连技术(300679)、联合光电(300691)、三利谱(002876)等",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,西南证券,600487,亨通光电,"   
    投资策略:1、建议关注业绩增长稳健的电子、消费、机械等行业,适当关注业绩反转的纺织服装、有催化剂的通信等行业;2、继续聚焦业绩增长稳健的各行业龙头,建议关注利亚德(300296)、华鲁恒升(600426)、亨通光电(600487)、汇川技术(300124)等;3、关注次新股中行业空间较大、业绩增速较好的公司,如亿联网络(300628)、电连技术(300679)、联合光电(300691)、三利谱(002876)等",webcache\20171102\webcache-20180303020148.html,sina,
2017-11-02,西南证券,002876,三利谱,"   
    投资策略:1、建议关注业绩增长稳健的电子、消费、机械等行业,适当关注业绩反转的纺织服装、有催化剂的通信等行业;2、继续聚焦业绩增长稳健的各行业龙头,建议关注利亚德(300296)、华鲁恒升(600426)、亨通光电(600487)、汇川技术(300124)等;3、关注次新股中行业空间较大、业绩增速较好的公司,如亿联网络(300628)、电连技术(300679)、联合光电(300691)、三利谱(002876)等",webcache\20171102\webcache-20180303020148.html,sina,
