2017-11-07,方正证券  ,000711,京蓝科技 ,"与京蓝科技签订战略合作协议,进一步绑定大客户,新业务智慧农业节水有望实现快速增长:京蓝科技是我国领先的智慧节水解决方案供应商和运营服务商,且其下属公司已中标多个智慧节水灌溉PPP 项目"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973869/index.phtml,sina,
2017-11-07,方正证券  ,000816,智慧农业 ,"与京蓝科技签订战略合作协议,进一步绑定大客户,新业务智慧农业节水有望实现快速增长:京蓝科技是我国领先的智慧节水解决方案供应商和运营服务商,且其下属公司已中标多个智慧节水灌溉PPP 项目"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973869/index.phtml,sina,
2017-11-07,方正证券  ,000711,京蓝科技 ,"与京蓝科技签订战略合作协议,进一步绑定大客户,新业务智慧农业节水有望实现快速增长:京蓝科技是我国领先的智慧节水解决方案供应商和运营服务商,且其下属公司已中标多个智慧节水灌溉PPP 项目"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973869/index.phtml,sina,
2017-11-07,方正证券  ,000816,智慧农业 ,"与京蓝科技签订战略合作协议,进一步绑定大客户,新业务智慧农业节水有望实现快速增长:京蓝科技是我国领先的智慧节水解决方案供应商和运营服务商,且其下属公司已中标多个智慧节水灌溉PPP 项目"                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973869/index.phtml,sina,
2017-11-07,方正证券  ,000711,京蓝科技 ,"同时京蓝科技董事长也是新天科技的董事,未来二者的合作有望进一步拓展,公司新业务智慧农业节水有望实现快速增长"                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973869/index.phtml,sina,
2017-11-07,方正证券  ,000816,智慧农业 ,"同时京蓝科技董事长也是新天科技的董事,未来二者的合作有望进一步拓展,公司新业务智慧农业节水有望实现快速增长"                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973869/index.phtml,sina,
2017-11-07,方正证券  ,300259,新天科技 ,"同时京蓝科技董事长也是新天科技的董事,未来二者的合作有望进一步拓展,公司新业务智慧农业节水有望实现快速增长"                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973869/index.phtml,sina,
2017-11-07,方正证券  ,000711,京蓝科技 ,"推荐新天科技:与京蓝科技签订战略合作协议,新业务有望进入快速增长期"                                                                                                                                                                                                                                                                                                                                                                                                                                     ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973869/index.phtml,sina,
2017-11-07,方正证券  ,300259,新天科技 ,"推荐新天科技:与京蓝科技签订战略合作协议,新业务有望进入快速增长期"                                                                                                                                                                                                                                                                                                                                                                                                                                     ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973869/index.phtml,sina,
2017-11-07,方正证券  ,000711,京蓝科技 ,"推荐新天科技:与京蓝科技签订战略合作协议,新业务有望进入快速增长期"                                                                                                                                                                                                                                                                                                                                                                                                                                     ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973869/index.phtml,sina,
2017-11-07,方正证券  ,300259,新天科技 ,"推荐新天科技:与京蓝科技签订战略合作协议,新业务有望进入快速增长期"                                                                                                                                                                                                                                                                                                                                                                                                                                     ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973869/index.phtml,sina,
2017-11-07,浙商证券  ,300078,思创医惠 ,"推荐思创医惠2017年三季报点评:2017Q3营收增速放缓,“AI+医疗”进展顺利"                                                                                                                                                                                                                                                                                                                                                                                                                             ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973857/index.phtml,sina,
2017-11-07,广发证券  ,002511,中顺洁柔 ,"推荐中顺洁柔:渠道建设不断完善,营业收入增速加快"                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973855/index.phtml,sina,
2017-11-07,广发证券  ,300009,安科生物 ,"
    盈利预测与投资评级
    安科生物在研产品线丰富,不乏重磅品种,而且现有产品增长稳健,公司业绩成长性良好"                                                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3973851/index.phtml,sina,
