2017-11-10,新时代证券 ,002415,海康威视 ,"推荐海康威视三季报点评:业绩符合预期,新发布AI Cloud解决行业痛点"                                                                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979332/index.phtml,sina,
2017-11-10,中信建投  ,002594,比亚迪  ,"17年新能源乘用车销量比亚迪保持领先,1-10月累计销量82859辆(包括腾势),北汽新能源紧随其后,累计销量66714辆"                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979321/index.phtml,sina,
2017-11-10,中信建投  ,002074,国轩高科 ,"
    推荐标的:澳洋顺昌、国轩高科、当升科技、先导智能、亿利达风险提示:新能源车产销不达预期"                                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979321/index.phtml,sina,
2017-11-10,中信建投  ,002245,澳洋顺昌 ,"
    推荐标的:澳洋顺昌、国轩高科、当升科技、先导智能、亿利达风险提示:新能源车产销不达预期"                                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979321/index.phtml,sina,
2017-11-10,中信建投  ,002686,亿利达  ,"
    推荐标的:澳洋顺昌、国轩高科、当升科技、先导智能、亿利达风险提示:新能源车产销不达预期"                                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979321/index.phtml,sina,
2017-11-10,中信建投  ,300073,当升科技 ,"
    推荐标的:澳洋顺昌、国轩高科、当升科技、先导智能、亿利达风险提示:新能源车产销不达预期"                                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979321/index.phtml,sina,
2017-11-10,中信建投  ,300450,先导智能 ,"
    推荐标的:澳洋顺昌、国轩高科、当升科技、先导智能、亿利达风险提示:新能源车产销不达预期"                                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979321/index.phtml,sina,
2017-11-10,中信建投  ,002594,比亚迪  ,"比亚迪继续保持插电混动的强势,在地区方面,上海插混市场保持优势,同时非限购地区也有突破趋势"                                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979321/index.phtml,sina,
2017-11-10,中信建投  ,002594,比亚迪  ,"比亚迪继续保持插电混动的强势,在地区方面,上海插混市场保持优势,同时非限购地区也有突破趋势"                                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979321/index.phtml,sina,
2017-11-10,中信建投  ,002594,比亚迪  ,"
    10月北汽新能源以12995辆夺得单月销量冠军,比亚迪和上汽分别以12466辆和6112辆分列亚季军,上汽乘用车同比增长1051%,环比增长21%,表现突出"                                                                                                                                                                                                                                                                                                     ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979321/index.phtml,sina,
2017-11-10,中信建投  ,002594,比亚迪  ,"
    10月北汽新能源以12995辆夺得单月销量冠军,比亚迪和上汽分别以12466辆和6112辆分列亚季军,上汽乘用车同比增长1051%,环比增长21%,表现突出"                                                                                                                                                                                                                                                                                                     ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979321/index.phtml,sina,
2017-11-10,中信建投  ,002594,比亚迪  ,"但是,10月份北汽新能源销量超越比亚迪,且单一车型北汽EC 系列销量超过1万辆,知豆累计同比增长133%,表现突出"                                                                                                                                                                                                                                                                                                                                  ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979321/index.phtml,sina,
2017-11-10,中信建投  ,002594,比亚迪  ,"但是,10月份北汽新能源销量超越比亚迪,且单一车型北汽EC 系列销量超过1万辆,知豆累计同比增长133%,表现突出"                                                                                                                                                                                                                                                                                                                                  ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979321/index.phtml,sina,
2017-11-10,财富证券  ,600690,青岛海尔 ,建议关注在智能化产品方面具有核心竞争优势的公司:美的集团(000333)、青岛海尔(600690)和老板电器(002508)等相关标的                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979305/index.phtml,sina,
2017-11-10,财富证券  ,000333,美的集团 ,建议关注在智能化产品方面具有核心竞争优势的公司:美的集团(000333)、青岛海尔(600690)和老板电器(002508)等相关标的                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979305/index.phtml,sina,
2017-11-10,财富证券  ,002508,老板电器 ,建议关注在智能化产品方面具有核心竞争优势的公司:美的集团(000333)、青岛海尔(600690)和老板电器(002508)等相关标的                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979305/index.phtml,sina,
2017-11-10,财富证券  ,600690,青岛海尔 ,建议关注在智能化产品方面具有核心竞争优势的公司:美的集团(000333)、青岛海尔(600690)和老板电器(002508)等相关标的                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979305/index.phtml,sina,
2017-11-10,财富证券  ,000333,美的集团 ,建议关注在智能化产品方面具有核心竞争优势的公司:美的集团(000333)、青岛海尔(600690)和老板电器(002508)等相关标的                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979305/index.phtml,sina,
2017-11-10,财富证券  ,002508,老板电器 ,建议关注在智能化产品方面具有核心竞争优势的公司:美的集团(000333)、青岛海尔(600690)和老板电器(002508)等相关标的                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979305/index.phtml,sina,
2017-11-10,国联证券  ,601088,中国神华 ,"推荐中国神华:煤炭维持高景气,国企改革添砖加瓦"                                                                                                                                                                                                                                                                                                                                                                    ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979303/index.phtml,sina,
2017-11-10,信达证券  ,600143,金发科技 ,"
    今日披露,大股东增持标的股票有东方明珠、迪马股份、陕西金叶等3只,大股东减持标的股票有金发科技等2只"                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979297/index.phtml,sina,
2017-11-10,信达证券  ,600565,迪马股份 ,"
    今日披露,大股东增持标的股票有东方明珠、迪马股份、陕西金叶等3只,大股东减持标的股票有金发科技等2只"                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979297/index.phtml,sina,
2017-11-10,信达证券  ,600637,东方明珠 ,"
    今日披露,大股东增持标的股票有东方明珠、迪马股份、陕西金叶等3只,大股东减持标的股票有金发科技等2只"                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979297/index.phtml,sina,
2017-11-10,信达证券  ,600832,东方明珠 ,"
    今日披露,大股东增持标的股票有东方明珠、迪马股份、陕西金叶等3只,大股东减持标的股票有金发科技等2只"                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979297/index.phtml,sina,
2017-11-10,信达证券  ,000812,陕西金叶 ,"
    今日披露,大股东增持标的股票有东方明珠、迪马股份、陕西金叶等3只,大股东减持标的股票有金发科技等2只"                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979297/index.phtml,sina,
2017-11-10,宏信证券  ,002383,合众思壮 ,4)建议关注北斗导航领域相关上市公司:合众思壮、振芯科技                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979295/index.phtml,sina,
2017-11-10,宏信证券  ,300101,振芯科技 ,4)建议关注北斗导航领域相关上市公司:合众思壮、振芯科技                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979295/index.phtml,sina,
2017-11-10,浙商证券  ,600869,智慧能源 ,"推荐智慧能源三季报点评:扩大业务布局,业绩改善可期"                                                                                                                                                                                                                                                                                                                                                                  ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979293/index.phtml,sina,
2017-11-10,浙商证券  ,601919,中远海控 ,"推荐中远海控点评报告:三季度业绩低于预期,集运反转仍需时日"                                                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979283/index.phtml,sina,
2017-11-10,长江证券  ,000910,大亚圣象 ,"推荐大亚圣象:“大亚”“圣象”双牌驱动,机制理顺龙头腾飞"                                                                                                                                                                                                                                                                                                                                                               ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979279/index.phtml,sina,
2017-11-10,申万宏源  ,000166,申万宏源 ,推荐申万宏源动态组合配置版                                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979273/index.phtml,sina,
2017-11-10,长江证券  ,600019,宝钢股份 ,"推荐宝钢股份:励精图治,二期股权激励落地"                                                                                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979271/index.phtml,sina,
2017-11-10,中信建投  ,300447,全信股份 ,"推荐全信股份:光电传输业务稳步增长,海水淡化市场空间广阔"                                                                                                                                                                                                                                                                                                                                                               ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979263/index.phtml,sina,
2017-11-10,中信建投  ,300447,全信股份 ,"推荐全信股份:光电传输业务稳步增长,海水淡化市场空间广阔"                                                                                                                                                                                                                                                                                                                                                               ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979263/index.phtml,sina,
2017-11-10,长江证券  ,600258,首旅酒店 ,"首旅酒店2017年三季报业绩亮眼,公司实现营收63.1亿元(+40.1%)和归母净利润5.5亿元(+250.9%);中高端酒店数量占比增长带动综合RevPAR提升"                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979237/index.phtml,sina,
2017-11-10,长江证券  ,600258,首旅酒店 ,"推荐首旅酒店:边际改善加速,首旅蓄势待发"                                                                                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979237/index.phtml,sina,
2017-11-10,长江证券  ,600258,首旅酒店 ,"推荐首旅酒店:边际改善加速,首旅蓄势待发"                                                                                                                                                                                                                                                                                                                                                                       ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979237/index.phtml,sina,
2017-11-10,国信证券  ,300098,高新兴  ,推荐高新兴:重大事件快评:看好中兴物联受益中国电信物联网加速落地                                                                                                                                                                                                                                                                                                                                                             ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979233/index.phtml,sina,
2017-11-10,国信证券  ,300098,高新兴  ,推荐高新兴:重大事件快评:看好中兴物联受益中国电信物联网加速落地                                                                                                                                                                                                                                                                                                                                                             ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979233/index.phtml,sina,
2017-11-10,国信证券  ,300098,高新兴  ,推荐高新兴:重大事件快评:看好中兴物联受益中国电信物联网加速落地                                                                                                                                                                                                                                                                                                                                                             ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979233/index.phtml,sina,
2017-11-10,中信建投  ,600967,内蒙一机 ,"推荐内蒙一机:军品内销外贸长期看好,民品市场回暖机遇巨大"                                                                                                                                                                                                                                                                                                                                                               ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979231/index.phtml,sina,
2017-11-10,财富证券  ,300207,欣旺达  ,"3、四季度是锂电池设备招投标旺季,BYD、欣旺达、中航锂电以及CATL与上汽产能建设将进入招投标阶段,公司作为国内最强锂电池设备厂商有望因此受益,明后两年业绩增长确定性较强"                                                                                                                                                                                                                                                                                                     ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979224/index.phtml,sina,
2017-11-10,财富证券  ,300207,欣旺达  ,"3、四季度是锂电池设备招投标旺季,BYD、欣旺达、中航锂电以及CATL与上汽产能建设将进入招投标阶段,公司作为国内最强锂电池设备厂商有望因此受益,明后两年业绩增长确定性较强"                                                                                                                                                                                                                                                                                                     ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979224/index.phtml,sina,
2017-11-10,财富证券  ,300450,先导智能 ,"推荐先导智能:行业高景气度延续,在手订单充裕确保高增长"                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979224/index.phtml,sina,
2017-11-10,财富证券  ,300450,先导智能 ,"推荐先导智能:行业高景气度延续,在手订单充裕确保高增长"                                                                                                                                                                                                                                                                                                                                                                ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979224/index.phtml,sina,
2017-11-10,浙商证券  ,603305,旭升股份 ,"新股市场上涨较为明显,其中涨幅最大的是10月18日上市的万隆光电,为52.01%,涨幅前10位均在15%以上;跌幅最大的是7月7日上市的旭升股份,跌幅为17.04%"                                                                                                                                                                                                                                                                                                         ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979217/index.phtml,sina,
2017-11-10,浙商证券  ,300710,万隆光电 ,"新股市场上涨较为明显,其中涨幅最大的是10月18日上市的万隆光电,为52.01%,涨幅前10位均在15%以上;跌幅最大的是7月7日上市的旭升股份,跌幅为17.04%"                                                                                                                                                                                                                                                                                                         ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979217/index.phtml,sina,
2017-11-10,浙商证券  ,300710,万隆光电 ,"
    上周共有10只新股打开了涨停板,其中8只股票打开涨停板之后股价上涨,万隆光电是一只刚打开涨停板就实现了周最大涨幅的新股"                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979217/index.phtml,sina,
2017-11-10,国泰君安  ,600584,长电科技 ,推荐:汇川技术、中兴通讯、长电科技、先导智能、徐工机械                                                                                                                                                                                                                                                                                                                                                                  ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979154/index.phtml,sina,
2017-11-10,国泰君安  ,000063,中兴通讯 ,推荐:汇川技术、中兴通讯、长电科技、先导智能、徐工机械                                                                                                                                                                                                                                                                                                                                                                  ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979154/index.phtml,sina,
2017-11-10,国泰君安  ,000425,徐工机械 ,推荐:汇川技术、中兴通讯、长电科技、先导智能、徐工机械                                                                                                                                                                                                                                                                                                                                                                  ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979154/index.phtml,sina,
2017-11-10,国泰君安  ,300124,汇川技术 ,推荐:汇川技术、中兴通讯、长电科技、先导智能、徐工机械                                                                                                                                                                                                                                                                                                                                                                  ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979154/index.phtml,sina,
2017-11-10,国泰君安  ,300450,先导智能 ,推荐:汇川技术、中兴通讯、长电科技、先导智能、徐工机械                                                                                                                                                                                                                                                                                                                                                                  ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979154/index.phtml,sina,
2017-11-10,中信建投  ,300395,菲利华  ,"推荐菲利华:军品石英纤维的独家供货商,外延收购助力多元化发展"                                                                                                                                                                                                                                                                                                                                                             ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979145/index.phtml,sina,
2017-11-10,国金证券  ,600617,国新能源 ,"伴随中国新能源汽车的高速发展,公司2015年、2016年净利润分别为5400万元、8000万元,实现业绩高速增长"                                                                                                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979124/index.phtml,sina,
2017-11-10,国金证券  ,600617,国新能源 ,"我们认为,公司把握中国新能源汽车高增长历史机遇,入股浙江时空能源,将大幅提升盈利水平及发展前景"                                                                                                                                                                                                                                                                                                                                            ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979124/index.phtml,sina,
2017-11-10,国金证券  ,002510,天汽模  ,"推荐天汽模:战略入股时空能源,发展前景广阔"                                                                                                                                                                                                                                                                                                                                                                      ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979124/index.phtml,sina,
2017-11-10,方正证券  ,603766,隆鑫通用 ,"推荐隆鑫通用:与宝马合作达成预期目标,公司战略稳步向前推进"                                                                                                                                                                                                                                                                                                                                                              ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979120/index.phtml,sina,
2017-11-10,浙商证券  ,000591,太阳能  ,"推荐太阳能三季度点评报告:第六批补贴陆续到位,业绩高增长符合预期"                                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979116/index.phtml,sina,
2017-11-10,浙商证券  ,000591,太阳能  ,"推荐太阳能三季度点评报告:第六批补贴陆续到位,业绩高增长符合预期"                                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979116/index.phtml,sina,
2017-11-10,安信证券  ,000723,美锦能源 ,"推荐美锦能源:拟现金收购集团煤矿资产,有助增强公司产业链一体化"                                                                                                                                                                                                                                                                                                                                                            ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3979114/index.phtml,sina,
