2017-11-14,国海证券      ,600990,四创电子 ,"推荐四创电子事件点评:中电博微组建,资产注入可期"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982993/index.phtml,sina,
2017-11-14,东吴证券      ,300604,长川科技 ,"推荐长川科技:测试设备纯正标的,半导体新兵崛起"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982988/index.phtml,sina,
2017-11-14,东吴证券      ,002640,跨境通  ,"跨境通仍处于快速成长、扩大收入规模的关键时期,对相关管理、技术、运营能人才需求量较大,但市场上具备相关经验和资质的人才较为匮乏,股权激励计划的实施将最大程度激发核心骨干的动力及创造力,巩固人才优势,保障公司抓住行业发展机遇,取得较快成长"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982986/index.phtml,sina,
2017-11-14,东吴证券      ,002640,跨境通  ,"推荐跨境通:拟以20.22元行权价向151名骨干发行股票,优壹电商业绩有望超预期"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982986/index.phtml,sina,
2017-11-14,申万宏源      ,600011,华能国际 ,"
    重点池推荐:
    公用行业:1)火电:华能国际、大唐发电、华电国际、皖能电力、京能电力、上海电力、内蒙华电;2)水电:长江电力、桂东电力、桂冠电力;3)清洁能源:联美控股、百川能源、深圳燃气、中国核电"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982960/index.phtml,sina,
2017-11-14,申万宏源      ,600021,上海电力 ,"
    重点池推荐:
    公用行业:1)火电:华能国际、大唐发电、华电国际、皖能电力、京能电力、上海电力、内蒙华电;2)水电:长江电力、桂东电力、桂冠电力;3)清洁能源:联美控股、百川能源、深圳燃气、中国核电"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982960/index.phtml,sina,
2017-11-14,申万宏源      ,600027,华电国际 ,"
    重点池推荐:
    公用行业:1)火电:华能国际、大唐发电、华电国际、皖能电力、京能电力、上海电力、内蒙华电;2)水电:长江电力、桂东电力、桂冠电力;3)清洁能源:联美控股、百川能源、深圳燃气、中国核电"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982960/index.phtml,sina,
2017-11-14,申万宏源      ,600167,联美控股 ,"
    重点池推荐:
    公用行业:1)火电:华能国际、大唐发电、华电国际、皖能电力、京能电力、上海电力、内蒙华电;2)水电:长江电力、桂东电力、桂冠电力;3)清洁能源:联美控股、百川能源、深圳燃气、中国核电"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982960/index.phtml,sina,
2017-11-14,申万宏源      ,600236,桂冠电力 ,"
    重点池推荐:
    公用行业:1)火电:华能国际、大唐发电、华电国际、皖能电力、京能电力、上海电力、内蒙华电;2)水电:长江电力、桂东电力、桂冠电力;3)清洁能源:联美控股、百川能源、深圳燃气、中国核电"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982960/index.phtml,sina,
2017-11-14,申万宏源      ,600310,桂东电力 ,"
    重点池推荐:
    公用行业:1)火电:华能国际、大唐发电、华电国际、皖能电力、京能电力、上海电力、内蒙华电;2)水电:长江电力、桂东电力、桂冠电力;3)清洁能源:联美控股、百川能源、深圳燃气、中国核电"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982960/index.phtml,sina,
2017-11-14,申万宏源      ,600578,京能电力 ,"
    重点池推荐:
    公用行业:1)火电:华能国际、大唐发电、华电国际、皖能电力、京能电力、上海电力、内蒙华电;2)水电:长江电力、桂东电力、桂冠电力;3)清洁能源:联美控股、百川能源、深圳燃气、中国核电"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982960/index.phtml,sina,
2017-11-14,申万宏源      ,600681,百川能源 ,"
    重点池推荐:
    公用行业:1)火电:华能国际、大唐发电、华电国际、皖能电力、京能电力、上海电力、内蒙华电;2)水电:长江电力、桂东电力、桂冠电力;3)清洁能源:联美控股、百川能源、深圳燃气、中国核电"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982960/index.phtml,sina,
2017-11-14,申万宏源      ,600863,内蒙华电 ,"
    重点池推荐:
    公用行业:1)火电:华能国际、大唐发电、华电国际、皖能电力、京能电力、上海电力、内蒙华电;2)水电:长江电力、桂东电力、桂冠电力;3)清洁能源:联美控股、百川能源、深圳燃气、中国核电"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3982960/index.phtml,sina,
