2017-11-15,国泰君安,002353,杰瑞股份,"推荐杰瑞股份公司首次覆盖报告:新时期,新机遇",webcache\20171115\webcache-20180303014135.html,sina,
2017-11-15,安信证券,600779,水井坊,核心推荐水井坊、山西汾酒、沱牌舍得,webcache\20171115\webcache-20180303014135.html,sina,
2017-11-15,安信证券,600809,山西汾酒,核心推荐水井坊、山西汾酒、沱牌舍得,webcache\20171115\webcache-20180303014135.html,sina,
2017-11-15,安信证券,600887,伊利股份,"   
    大众品集体走出2014-2016 颓势,回暖趋势明确,继续坚定推荐相关细分龙头,包括伊利股份、调味品板块以及承德露露(000848.SZ)",webcache\20171115\webcache-20180303014135.html,sina,
2017-11-15,安信证券,000848,承德露露,"   
    大众品集体走出2014-2016 颓势,回暖趋势明确,继续坚定推荐相关细分龙头,包括伊利股份、调味品板块以及承德露露(000848.SZ)",webcache\20171115\webcache-20180303014135.html,sina,
2017-11-15,安信证券,600519,贵州茅台,"我们坚持推荐贵州茅台为2017-2020 年核心推荐标的,其中2020 年公司重新有确定的量增,2018-2019 年则通过“预收款+提价+适度量增调节”完美过渡,基于2020 年公司茅台酒基酒能达到5",webcache\20171115\webcache-20180303014135.html,sina,
2017-11-15,安信证券,600887,伊利股份,"   
    伊利股份三季度收入延续快速增长,费用率下降利润增速大幅上台阶,未来内生+外延并重,估值不贵,仍是坚定看好的大众品蓝筹",webcache\20171115\webcache-20180303014135.html,sina,
2017-11-15,安信证券,601988,中国银行,"外资银行在社区银行、私人财富管理等零售领域富有经验,外资准入门槛的降低有利于加速中国银行业的零售转型",webcache\20171115\webcache-20180303014135.html,sina,
2017-11-15,国金证券,601111,中国国航,"   
    燃油附加费或可部分对冲,成本增长还需提升票价缓解:以中国国航举例,公司2017年耗油量约为720万吨,油价每波动1美金/桶,公司会增加4亿元左右成本",webcache\20171115\webcache-20180303014137.html,sina,
2017-11-15,国金证券,603885,吉祥航空,"   
    若收益水平提升3%,可以覆盖油价上涨10%带来的成本增长:我们对重点跟踪的三大航、春秋和吉祥航空做了油价敏感性测算,若油价波动10%,国航、南航、东航、春秋、吉祥的全年营业成本将分别增加27.0亿元、29.4亿元、23.0亿元、2.2亿元、2.3亿元,对应净利润弹性分别为20.4%、31.2%、25.2%、14.4%、12.8%,拥有较高净利率的国航、春秋和吉祥受到油价波动的影响较少,其中国航和吉祥是因为收益品质较高,春秋是因为成本管控优势以及航线补贴较高",webcache\20171115\webcache-20180303014137.html,sina,
2017-11-15,国金证券,603885,吉祥航空,"   
    若收益水平提升3%,可以覆盖油价上涨10%带来的成本增长:我们对重点跟踪的三大航、春秋和吉祥航空做了油价敏感性测算,若油价波动10%,国航、南航、东航、春秋、吉祥的全年营业成本将分别增加27.0亿元、29.4亿元、23.0亿元、2.2亿元、2.3亿元,对应净利润弹性分别为20.4%、31.2%、25.2%、14.4%、12.8%,拥有较高净利率的国航、春秋和吉祥受到油价波动的影响较少,其中国航和吉祥是因为收益品质较高,春秋是因为成本管控优势以及航线补贴较高",webcache\20171115\webcache-20180303014137.html,sina,
