2017-11-20,国海证券,000750,国海证券,推荐国海证券研究每周观点精粹,webcache\20171120\webcache-20180303013522.html,sina,
2017-11-20,国金证券,002472,双环传动,"   
    上周工信部发布智能制造系统解决方案供应商推荐目录,机器人、华中数控等7家公司入选,智能制造是制造强国的产业升级方向,近期持续受到政策扶持,建议关注:华中数控、新时达、双环传动",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,002527,新时达,"   
    上周工信部发布智能制造系统解决方案供应商推荐目录,机器人、华中数控等7家公司入选,智能制造是制造强国的产业升级方向,近期持续受到政策扶持,建议关注:华中数控、新时达、双环传动",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,300024,机器人,"   
    上周工信部发布智能制造系统解决方案供应商推荐目录,机器人、华中数控等7家公司入选,智能制造是制造强国的产业升级方向,近期持续受到政策扶持,建议关注:华中数控、新时达、双环传动",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,300161,华中数控,"   
    上周工信部发布智能制造系统解决方案供应商推荐目录,机器人、华中数控等7家公司入选,智能制造是制造强国的产业升级方向,近期持续受到政策扶持,建议关注:华中数控、新时达、双环传动",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,002472,双环传动,"   
    上周工信部发布智能制造系统解决方案供应商推荐目录,机器人、华中数控等7家公司入选,智能制造是制造强国的产业升级方向,近期持续受到政策扶持,建议关注:华中数控、新时达、双环传动",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,002527,新时达,"   
    上周工信部发布智能制造系统解决方案供应商推荐目录,机器人、华中数控等7家公司入选,智能制造是制造强国的产业升级方向,近期持续受到政策扶持,建议关注:华中数控、新时达、双环传动",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,300024,机器人,"   
    上周工信部发布智能制造系统解决方案供应商推荐目录,机器人、华中数控等7家公司入选,智能制造是制造强国的产业升级方向,近期持续受到政策扶持,建议关注:华中数控、新时达、双环传动",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,300161,华中数控,"   
    上周工信部发布智能制造系统解决方案供应商推荐目录,机器人、华中数控等7家公司入选,智能制造是制造强国的产业升级方向,近期持续受到政策扶持,建议关注:华中数控、新时达、双环传动",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,300024,机器人,"   
    行业观点:   
    工信部发布智能制造系统解决方案供应商推荐目录,华中数控、机器人等7家公司入选",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,300161,华中数控,"   
    行业观点:   
    工信部发布智能制造系统解决方案供应商推荐目录,华中数控、机器人等7家公司入选",webcache\20171120\webcache-20180303013523.html,sina,
2017-11-20,国金证券,600031,三一重工,"围绕高端制造及工业机器人产业链,工业机器人板块重点关注:华中数控、新时达、双环传动;高端制造看好各子行业的龙头公司:中国中车、先导智能、三一重工",webcache\20171120\webcache-20180303013523.html,sina,
