2017-11-21,东北证券,300024,机器人,推荐行业:自动化行业(系统集成和机器人)+高空作业平台,webcache\20171121\webcache-20180303013316.html,sina,
2017-11-21,国金证券,002340,格林美,"   
    推荐组合:在镍价稳中有升,硫酸镍上涨动力与确定性强的行业背景下,在产与产能扩张标的直接受益,推荐标的为格林美、光华科技",webcache\20171121\webcache-20180303013317.html,sina,
2017-11-21,国金证券,002741,光华科技,"   
    推荐组合:在镍价稳中有升,硫酸镍上涨动力与确定性强的行业背景下,在产与产能扩张标的直接受益,推荐标的为格林美、光华科技",webcache\20171121\webcache-20180303013317.html,sina,
2017-11-21,国金证券,002340,格林美,"   
    推荐组合:在镍价稳中有升,硫酸镍上涨动力与确定性强的行业背景下,在产与产能扩张标的直接受益,推荐标的为格林美、光华科技",webcache\20171121\webcache-20180303013317.html,sina,
2017-11-21,国金证券,002741,光华科技,"   
    推荐组合:在镍价稳中有升,硫酸镍上涨动力与确定性强的行业背景下,在产与产能扩张标的直接受益,推荐标的为格林美、光华科技",webcache\20171121\webcache-20180303013317.html,sina,
2017-11-21,国金证券,002340,格林美,"   
    推荐组合:在镍价稳中有升,硫酸镍上涨动力与确定性强的行业背景下,在产与产能扩张标的直接受益,推荐标的为格林美、光华科技",webcache\20171121\webcache-20180303013317.html,sina,
2017-11-21,国金证券,002741,光华科技,"   
    推荐组合:在镍价稳中有升,硫酸镍上涨动力与确定性强的行业背景下,在产与产能扩张标的直接受益,推荐标的为格林美、光华科技",webcache\20171121\webcache-20180303013317.html,sina,
2017-11-21,天风证券,002001,新和成,"推荐新和成:巴斯夫柠檬醛工厂停产有望超预期,产品涨价公司业绩弹性大",webcache\20171121\webcache-20180303013319.html,sina,
2017-11-21,财富证券,600066,宇通客车,我们建议投资者关注如下标的:宇通客车(600066)、万里扬(002434)、拓普集团(601689)、精锻科技(300258)和广汇汽车(600297),webcache\20171121\webcache-20180303013319.html,sina,
2017-11-21,财富证券,600297,广汇汽车,我们建议投资者关注如下标的:宇通客车(600066)、万里扬(002434)、拓普集团(601689)、精锻科技(300258)和广汇汽车(600297),webcache\20171121\webcache-20180303013319.html,sina,
2017-11-21,财富证券,601689,拓普集团,我们建议投资者关注如下标的:宇通客车(600066)、万里扬(002434)、拓普集团(601689)、精锻科技(300258)和广汇汽车(600297),webcache\20171121\webcache-20180303013319.html,sina,
2017-11-21,财富证券,002434,万里扬,我们建议投资者关注如下标的:宇通客车(600066)、万里扬(002434)、拓普集团(601689)、精锻科技(300258)和广汇汽车(600297),webcache\20171121\webcache-20180303013319.html,sina,
2017-11-21,财富证券,300258,精锻科技,我们建议投资者关注如下标的:宇通客车(600066)、万里扬(002434)、拓普集团(601689)、精锻科技(300258)和广汇汽车(600297),webcache\20171121\webcache-20180303013319.html,sina,
2017-11-21,中银国际,603027,千禾味业,"推荐千禾味业:顺应健康化消费升级大趋势,差异化竞争前景广阔",webcache\20171121\webcache-20180303013320.html,sina,
2017-11-21,川财证券,601636,旗滨集团,非停产区的平板玻璃龙头旗滨集团、南玻A将持续受益,webcache\20171121\webcache-20180303013320.html,sina,
2017-11-21,川财证券,000012,南玻A,非停产区的平板玻璃龙头旗滨集团、南玻A将持续受益,webcache\20171121\webcache-20180303013320.html,sina,
2017-11-21,申万宏源,002557,洽洽食品,推荐洽洽食品:改善超预期、配置正当时,webcache\20171121\webcache-20180303013320.html,sina,
2017-11-21,天风证券,603200,上海洗霸,"我们看好四季度和明年上半年环保板块整体表现,建议投资重点关注工业环保方向的推荐投资标的:清新环境、聚光科技、上海洗霸、雪浪环境等",webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,天风证券,002573,清新环境,"我们看好四季度和明年上半年环保板块整体表现,建议投资重点关注工业环保方向的推荐投资标的:清新环境、聚光科技、上海洗霸、雪浪环境等",webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,天风证券,300203,聚光科技,"我们看好四季度和明年上半年环保板块整体表现,建议投资重点关注工业环保方向的推荐投资标的:清新环境、聚光科技、上海洗霸、雪浪环境等",webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,天风证券,300385,雪浪环境,"我们看好四季度和明年上半年环保板块整体表现,建议投资重点关注工业环保方向的推荐投资标的:清新环境、聚光科技、上海洗霸、雪浪环境等",webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,天风证券,603200,上海洗霸,"我们看好四季度和明年上半年环保板块整体表现,建议投资重点关注工业环保方向的推荐投资标的:清新环境、聚光科技、上海洗霸、雪浪环境等",webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,天风证券,002573,清新环境,"我们看好四季度和明年上半年环保板块整体表现,建议投资重点关注工业环保方向的推荐投资标的:清新环境、聚光科技、上海洗霸、雪浪环境等",webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,天风证券,300203,聚光科技,"我们看好四季度和明年上半年环保板块整体表现,建议投资重点关注工业环保方向的推荐投资标的:清新环境、聚光科技、上海洗霸、雪浪环境等",webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,天风证券,300385,雪浪环境,"我们看好四季度和明年上半年环保板块整体表现,建议投资重点关注工业环保方向的推荐投资标的:清新环境、聚光科技、上海洗霸、雪浪环境等",webcache\20171121\webcache-20180303013321.html,sina,
2017-11-21,天风证券,000968,蓝焰控股,"(1)上周山西煤层气产业调研,煤层气行业处于爆发临界点,强烈推荐蓝焰控股",webcache\20171121\webcache-20180303013321.html,sina,
