2017-11-22,天风证券    ,002626,金达威  ,"成本方面内蒙古金达威在能源、原料、运输等成本优势明显,市占率有望持续提升"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994249/index.phtml,sina,
2017-11-22,天风证券    ,002626,金达威  ,"推荐金达威:短期维生素提价的业绩弹性大,中长期辅酶Q10和运动营养品提升估值"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994249/index.phtml,sina,
2017-11-22,天风证券    ,300661,圣邦股份 ,"推荐圣邦股份:股东增持彰显信心,模拟芯片龙头长期价值仍被低估"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994245/index.phtml,sina,
2017-11-22,天风证券    ,300661,圣邦股份 ,"推荐圣邦股份:股东增持彰显信心,模拟芯片龙头长期价值仍被低估"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994245/index.phtml,sina,
2017-11-22,申万宏源    ,300059,东方财富 ,"2017 年上半年度两融余额为57.68 亿,同比增长287.1%,东方财富市占率由去年同期的0.17%上升至0.66%,行业内排名第37 位,较去年同比排名提升了38 位"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994243/index.phtml,sina,
2017-11-22,申万宏源    ,300059,东方财富 ,"2)以融资融券业务为代表的信用交易业务在17H1 总收入中占比18%,已成为东方财富证券的重要收入来源和未来新的增长点"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994243/index.phtml,sina,
2017-11-22,申万宏源    ,300059,东方财富 ,推荐东方财富:东方财富证券10月股票成交量市场份额再创历史新高!                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994243/index.phtml,sina,
2017-11-22,群益证券    ,000826,启迪桑德 ,"推荐启迪桑德:捷报频传,业绩高成长可期"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994234/index.phtml,sina,
2017-11-22,国信证券    ,600009,上海机场 ,"依托上海机场雄厚的国际旅客优势(2016 年国际+地区游客吞吐量达到3326 万人次,在国内不含港澳台机场中排名第一),其机场免税规模在国内单体免税店中规模也相对最大"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994220/index.phtml,sina,
2017-11-22,国信证券    ,600009,上海机场 ,"同时,受2016 年下半年浦东机场T1 航站楼改造完成以及2017 年上半年虹桥机场T1 航站楼A 区改扩建完成,预计上海机场免税经营面积有效增加,从而有助于2017 年及未来上海机场免税销售额的较快增长(估算2017 年有望达到70亿元左右)"                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994220/index.phtml,sina,
2017-11-22,国信证券    ,601888,中国国旅 ,"推荐中国国旅系列分析之十六:拟携手日上上海,开启中免新时代"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994220/index.phtml,sina,
2017-11-22,信达证券    ,002583,海能达  ,"海能达是全球领先的专网通信产品和解决方案供应商,提供Tetra、PDT、DMR、专网LTE等全系列标准产品"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994202/index.phtml,sina,
2017-11-22,信达证券    ,002583,海能达  ,推荐通信行业:高新兴、海能达                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994202/index.phtml,sina,
2017-11-22,信达证券    ,300098,高新兴  ,推荐通信行业:高新兴、海能达                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,http://vip.stock.finance.sina.com.cn/q/go.php/vReport_Show/kind/lastest/rptid/3994202/index.phtml,sina,
