2017-12-12,招商证券      ,603638,艾迪精密 ,艾迪精密(603638)高端装备跨年推荐之二：加大与龙头企业合作-171209                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,http://www.51pdf.com.cn/report_gg_p398/                                                          ,51pdf,
2017-12-12,招商证券      ,300188,美亚柏科 ,美亚柏科(300188)再论公安大数据龙头的成长空间-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,http://www.51pdf.com.cn/report_gg_p398/                                                          ,51pdf,
2017-12-12,招商证券      ,002916,深南电路 ,深南电路(002916)深度研究：内资PCB领军企业，封装基板和数通用PCB业务大有可为-171209                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://www.51pdf.com.cn/report_gg_p398/                                                          ,51pdf,
2017-12-12,招商证券      ,002294,信立泰  ,信立泰(002294)深度报告：当前市场上稀缺的低估值创新药龙头-171211                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,http://www.51pdf.com.cn/report_gg_p398/                                                          ,51pdf,
2017-12-12,华创证券      ,600548,深高速  ,深高速（600548）拟以14.72亿元收购广深沿江高速深圳段100％权益，加码高速业务，双主业持续推进，梅林关项目即将动工，强调“推荐”评级-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://www.51pdf.com.cn/report_gg_p398/                                                          ,51pdf,
2017-12-12,长城证券      ,601336,新华保险 ,新华保险（601336）转型收官蓄新动能，尽显价值真成长-171207                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,http://www.51pdf.com.cn/report_gg_p398/                                                          ,51pdf,
2017-12-12,长城证券      ,600886,国投电力 ,国投电力（600886）水电保增长，火电有弹性-171207                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,http://www.51pdf.com.cn/report_gg_p398/                                                          ,51pdf,
2017-12-12,长城证券      ,002179,中航光电 ,中航光电（002179）连接器行业龙头，军民融合典范-171207                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,http://www.51pdf.com.cn/report_gg_p398/                                                          ,51pdf,
2017-12-12,西南证券      ,002341,新纶科技 ,新纶科技（002341）雄厚人才、技术储备，新材料新贵再发力-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,http://www.51pdf.com.cn/report_gg_p398/                                                          ,51pdf,
2017-12-12,西南证券      ,600276,恒瑞医药 ,恒瑞医药（600276）吡咯替尼临床数据优异，有望加速获批上市-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,http://www.51pdf.com.cn/report_gg_p398/                                                          ,51pdf,
2017-12-12,上海证券      ,300054,鼎龙股份 ,鼎龙股份（300054）打印耗材全产业链一体化，CMP材料加速前行-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,http://www.51pdf.com.cn/report_gg_p399/                                                          ,51pdf,
2017-12-12,上海证券      ,603806,福斯特  ,福斯特（603806）产品价格企稳，EVA胶膜龙头再度起航-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://www.51pdf.com.cn/report_gg_p399/                                                          ,51pdf,
2017-12-12,中信建投      ,603686,龙马环卫 ,龙马环卫（603686）环卫一体化PPP再落地，定增完成注入发展新活力-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,http://www.51pdf.com.cn/report_gg_p399/                                                          ,51pdf,
2017-12-12,中信建投      ,300070,碧水源  ,碧水源（300070）两项对外投资落地，进一步拓展业务深度和广度-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,http://www.51pdf.com.cn/report_gg_p399/                                                          ,51pdf,
2017-12-12,国泰君安      ,601888,中国国旅 ,中国国旅(601888)海南旅游总规划释放离岛免税政策红利-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,http://www.51pdf.com.cn/report_gg_p399/                                                          ,51pdf,
2017-12-12,东兴证券      ,603659,璞泰来  ,璞泰来（603659）调研简报：锂电材料及设备领头羊，巨型航母扬帆起航-171209                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,http://www.51pdf.com.cn/report_gg_p399/                                                          ,51pdf,
2017-12-12,国信证券      ,300418,昆仑万维 ,昆仑万维（300418）业绩超预期，社交媒体及内容平台战略推动公司持续成长-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,http://www.51pdf.com.cn/report_gg_p399/                                                          ,51pdf,
2017-12-12,安信证券      ,600521,华海药业 ,华海药业(600521)管中窥豹，从阿立哌唑看美国仿制药市场变化及未来中国市场发展方向-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,http://www.51pdf.com.cn/report_gg_p399/                                                          ,51pdf,
2017-12-12,天风证券      ,300094,国联水产 ,国联水产(300094)携手易果生鲜，强化产业布局，助力主业增长！-171212                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,http://www.51pdf.com.cn/report_gg_p399/                                                          ,51pdf,
