2018-02-12,长江证券,002024,苏宁易购,苏宁易购(002024)拟回购股份实施股权激励，彰显长期发展信心-180212,http://www.51pdf.com.cn/report_gg_p96/,51pdf,
2018-02-12,西南证券,600028,中国石化,中国石化(600028)上游业绩弹性巨大，公司盈利模式进入新常态-180211,http://www.51pdf.com.cn/report_gg_p96/,51pdf,
2018-02-12,群益证券,600525,长园集团,长园集团(600525)投资收益大幅增长，17年预计增长45％~85％-180208,http://www.51pdf.com.cn/report_gg_p96/,51pdf,
2018-02-12,群益证券,600809,山西汾酒,山西汾酒(600809)混改引入华润，2018年有望维持较快增长-180209,http://www.51pdf.com.cn/report_gg_p96/,51pdf,
2018-02-12,招商证券,002419,天虹股份,天虹股份(002419)草根调研报告：苏州区域集中深耕，业态升级效果显著-180209,http://www.51pdf.com.cn/report_gg_p96/,51pdf,
2018-02-12,广发证券,002705,新宝股份,新宝股份(002705)内生保持良好增长，盈利受汇率影响大-180211,http://www.51pdf.com.cn/report_gg_p96/,51pdf,
2018-02-12,广发证券,603156,养元饮品,养元饮品(603156)新股分析：核桃乳龙头，市场开拓与渠道下沉有望带来业绩改善-180209,http://www.51pdf.com.cn/report_gg_p96/,51pdf,
2018-02-12,东莞证券,000888,峨眉山A,峨眉山A(000888)2017年年报点评：业绩符合预期，西成高铁有望推动18年业绩快增-180212,http://www.51pdf.com.cn/report_gg_p96/,51pdf,
2018-02-12,兴业证券,300495,美尚生态,美尚生态（300495）2017年年报点评-并表金点园林导致收入大增，资产减值损失计提影响净利润增速-180212,http://www.51pdf.com.cn/report_gg_p96/,51pdf,
2018-02-12,兴业证券,002322,理工环科,理工环科（002322）点评：大规模股票回购有望提振市场信心-180212,http://www.51pdf.com.cn/report_gg_p96/,51pdf,
2018-02-12,兴业证券,002714,牧原股份,牧原股份（002714）年报点评：体量快速增长，业绩符合预期-180211,http://www.51pdf.com.cn/report_gg_p96/,51pdf,
2018-02-12,兴业证券,002465,海格通信,海格通信（002465）点评：大股东10亿增持，2018年有望全面反转-180211,http://www.51pdf.com.cn/report_gg_p96/,51pdf,
2018-02-12,兴业证券,002051,中工国际,中工国际（002051）2017年业绩快报点评：收入端增长略超预期，汇兑损失致利润增速放缓-180212,http://www.51pdf.com.cn/report_gg_p96/,51pdf,
2018-02-12,华泰证券,600487,亨通光电,亨通光电(600487)光缆集采第一名，彰显龙头本色-180212,http://www.51pdf.com.cn/report_gg_p97/,51pdf,
2018-02-12,华泰证券,000672,上峰水泥,上峰水泥(000672)华东水泥强β品种，受益于均价提升-180212,http://www.51pdf.com.cn/report_gg_p97/,51pdf,
2018-02-12,安信证券,600809,山西汾酒,山西汾酒(600809)2018年高目标前进，1季度开门红可期-180212,http://www.51pdf.com.cn/report_gg_p97/,51pdf,
2018-02-12,安信证券,603007,花王股份,花王股份(603007)良好激励添动力，订单充足助高增-180211,http://www.51pdf.com.cn/report_gg_p97/,51pdf,
2018-02-12,安信证券,002714,牧原股份,牧原股份(002714)业绩符合预期，预计出栏量高速增长-180211,http://www.51pdf.com.cn/report_gg_p97/,51pdf,
2018-02-12,安信证券,002705,新宝股份,新宝股份(002705)原有产品启动调价，Q1业绩料有改善-180211,http://www.51pdf.com.cn/report_gg_p97/,51pdf,
2018-02-12,安信证券,600136,当代明诚,当代明诚(600136)首家世界杯亚洲区赞助商落地，持续验证公司体育营销能力-180211,http://www.51pdf.com.cn/report_gg_p97/,51pdf,
2018-02-12,安信证券,000888,峨眉山A,峨眉山A(000888)费用管控成效显著，高铁开通+索道提价预期下有望业绩反弹-180211,http://www.51pdf.com.cn/report_gg_p97/,51pdf,
2018-02-12,安信证券,600360,华微电子,华微电子(600360)中高端产品持续扩展，业绩实现快速增长-180211,http://www.51pdf.com.cn/report_gg_p97/,51pdf,
2018-02-12,安信证券,002373,千方科技,千方科技(002373)并购宇视科技事项顺利过会，资本助力未来安防市场发展-180211,http://www.51pdf.com.cn/report_gg_p97/,51pdf,
2018-02-12,安信证券,002027,分众传媒,分众传媒(002027)基于广告结构性调整趋势，我们预计公司业绩受益于量价齐升-180211,http://www.51pdf.com.cn/report_gg_p97/,51pdf,
2018-02-12,安信证券,600740,山西焦化,山西焦化(600740)收购优质焦煤股权，投资收益助力业绩增厚-180210,http://www.51pdf.com.cn/report_gg_p97/,51pdf,
2018-02-12,安信证券,000552,靖远煤电,靖远煤电(000552)长协价大幅上调，高弹性可期-180209,http://www.51pdf.com.cn/report_gg_p97/,51pdf,
2018-02-12,安信证券,000063,中兴通讯,中兴通讯(000063)出售中兴软创部分股权，持续聚焦5G，与阿里ICT合作值得期待-180209,http://www.51pdf.com.cn/report_gg_p97/,51pdf,
2018-02-12,招商证券,300098,高新兴,高新兴（300098）亿元纳雍县项目中标落地，彰显持续订单实力-180212,http://www.51pdf.com.cn/report_gg_p97/,51pdf,
2018-02-12,广发证券,300203,聚光科技,聚光科技（300203）17年实现净利润4.48亿，受费用等拖累业绩增速放缓-180212,http://www.51pdf.com.cn/report_gg_p97/,51pdf,
2018-02-12,华泰证券,300070,碧水源,碧水源（300070）订单快速增长，龙头地位凸显-180212,http://www.51pdf.com.cn/report_gg_p97/,51pdf,
2018-02-12,华泰证券,600346,恒力股份,恒力股份（600346）拟建高端化纤项目，市场前景良好-180211,http://www.51pdf.com.cn/report_gg_p97/,51pdf,
2018-02-12,华泰证券,601006,大秦铁路,大秦铁路（601006）下游煤炭需求旺，大秦线运量受益-180211,http://www.51pdf.com.cn/report_gg_p97/,51pdf,
2018-02-12,华泰证券,000546,金圆股份,金圆股份（000546）危废扩张加速，跑马圈地再下一城-180211,http://www.51pdf.com.cn/report_gg_p97/,51pdf,
2018-02-12,华泰证券,002714,牧原股份,牧原股份（002714）产能扩张超预期，穿越周期盈利-180211,http://www.51pdf.com.cn/report_gg_p98/,51pdf,
2018-02-12,华泰证券,600219,南山铝业,南山铝业（600219）深耕铝加工，业绩增长稳定-180211,http://www.51pdf.com.cn/report_gg_p98/,51pdf,
2018-02-12,华泰证券,300559,佳发安泰,佳发安泰（300559）新高考助力考试信息化龙头再启航-180212,http://www.51pdf.com.cn/report_gg_p98/,51pdf,
2018-02-12,华泰证券,002024,苏宁易购,苏宁易购（002024）回购股份激励员工，助力长期发展-180211,http://www.51pdf.com.cn/report_gg_p98/,51pdf,
2018-02-12,华泰证券,000063,中兴通讯,中兴通讯（000063）转让中兴软创部分股权，聚焦主业-180211,http://www.51pdf.com.cn/report_gg_p98/,51pdf,
2018-02-12,申万宏源,601799,星宇股份,"星宇股份(601799)员工持股绑定核心高管与技术人员,助力产品升级,进口替代加速进行中-180212",http://www.51pdf.com.cn/report_gg_p98/,51pdf,
2018-02-12,申万宏源,002191,劲嘉股份,"劲嘉股份(002191)公司回购股份彰显未来发展信心,大包装和大健康业务持续推进-180212",http://www.51pdf.com.cn/report_gg_p98/,51pdf,
2018-02-12,东吴证券,601328,交通银行,交通银行（601328）当前被低估，未来有弹性-180210,http://www.51pdf.com.cn/report_gg_p98/,51pdf,
2018-02-12,川财证券,000661,长春高新,长春高新(000661)2017年年度报告点评：业绩符合预期，生长激素快速增长持续-180209,http://www.51pdf.com.cn/report_gg_p98/,51pdf,
2018-02-12,川财证券,600998,九州通,九州通(600998)公告点评：大股东增持彰显信心，定增助力业务拓展-180209,http://www.51pdf.com.cn/report_gg_p98/,51pdf,
2018-02-12,新时代证券,002153,石基信息,石基信息（002153）阿里入股石基零售38％股权协议达成，强强联合开拓新零售-180211,http://www.51pdf.com.cn/report_gg_p98/,51pdf,
2018-02-12,新时代证券,002781,奇信股份,奇信股份（002781）全年业绩高速成长，转型升级持续推进-180211,http://www.51pdf.com.cn/report_gg_p98/,51pdf,
2018-02-12,天风证券,000488,晨鸣纸业,晨鸣纸业（000488）晨鸣纸业A、B、H股合理空间分别还有多少？-180212,http://www.51pdf.com.cn/report_gg_p98/,51pdf,
2018-02-12,财富证券,603566,普莱柯,普莱柯（603566）圆环基因苗销售开启，新品陆续上市助推业绩高增-180210,http://www.51pdf.com.cn/report_gg_p98/,51pdf,
2018-02-12,财富证券,600398,海澜之家,海澜之家(600398)动态点评：不再只是“男人的衣柜”-180212,http://www.51pdf.com.cn/report_gg_p98/,51pdf,
2018-02-12,中信证券,600622,光大嘉宝,光大嘉宝（600622）跟踪报告：市场前景广阔，期待管理资产规模壮大-180212,http://www.51pdf.com.cn/report_gg_p98/,51pdf,
2018-02-12,上海证券,603040,新坐标,新坐标（603040）拟设立墨西哥公司，持续拓展海外市场-180209,http://www.51pdf.com.cn/report_gg_p98/,51pdf,
2018-02-12,国信证券,601799,星宇股份,星宇股份(601799)第三期员工持股方案发布，持续推荐自主车灯龙头-180212,http://www.51pdf.com.cn/report_gg_p98/,51pdf,
2018-02-12,国信证券,000888,峨眉山A,峨眉山A(000888)2017年年报点评：控费助力17年业绩平稳，期待新班子新成长-180212,http://www.51pdf.com.cn/report_gg_p98/,51pdf,
2018-02-12,国信证券,600050,中国联通,中国联通（600050）限制性股票激励名单公布，股东大会发言彰显信心-180212,http://www.51pdf.com.cn/report_gg_p98/,51pdf,
2018-02-12,东兴证券,002714,牧原股份,牧原股份（002714）2017年报点评：以量补价逻辑兑现，高成长性可持续-180212,http://www.51pdf.com.cn/report_gg_p99/,51pdf,
2018-02-12,中原证券,000596,古井贡酒,古井贡酒（000596）公司估值的相对优势显现-180212,http://www.51pdf.com.cn/report_gg_p99/,51pdf,
2018-02-12,天风证券,002497,雅化集团,雅化集团（002497）拟发8亿转债，扩产资金有保障-180212,http://www.51pdf.com.cn/report_gg_p99/,51pdf,
2018-02-12,天风证券,002124,天邦股份,天邦股份（002124）四季度业绩同比增长，静待公司养殖成本下降助力业绩增长！-180212,http://www.51pdf.com.cn/report_gg_p99/,51pdf,
2018-02-12,光大证券,002293,罗莱生活,罗莱生活（002293）家纺龙头回暖明显，线上线下共促增长-180212,http://www.51pdf.com.cn/report_gg_p99/,51pdf,
2018-02-12,中信证券,000525,红太阳,红太阳(000525)2018年一季度业绩预告点评：行业景气，战略明晰，公司一季度业绩喜人-180212,http://www.51pdf.com.cn/report_gg_p99/,51pdf,
2018-02-12,中信证券,002714,牧原股份,牧原股份(002714)2017年年报点评：2017完满收官，2018成长继续-180212,http://www.51pdf.com.cn/report_gg_p99/,51pdf,
2018-02-12,国信证券,300170,汉得信息,汉得信息（300170）中国少数可以对标并超越国际巨头同行的IT公司-180208,http://www.51pdf.com.cn/report_gg_p99/,51pdf,
2018-02-12,东吴证券,300369,绿盟科技,绿盟科技（300369）股权问题靴子落地，大股东增持彰显信心-180212,http://www.51pdf.com.cn/report_gg_p99/,51pdf,
2018-02-12,浙商证券,300219,鸿利智汇,鸿利智汇（300219）点评报告：与产业基金签署战略合作协议，加码汽车LED照明-180211,http://www.51pdf.com.cn/report_gg_p99/,51pdf,
2018-02-12,华创证券,001979,招商蛇口,"招商蛇口(001979)1月销售点评：销售强劲开局,拿地持续扩张,国企资源承接再下一城-180212",http://www.51pdf.com.cn/report_gg_p99/,51pdf,
2018-02-12,国信证券,002313,日海通讯,日海通讯(002313)增持+拟发布员工持股计划，全员整装待发-180212,http://www.51pdf.com.cn/report_gg_p99/,51pdf,
2018-02-12,国信证券,000063,中兴通讯,中兴通讯(000063)拟出售软创股权继续“剥辅强主”，合作万科将长期受益-180212,http://www.51pdf.com.cn/report_gg_p99/,51pdf,
2018-02-12,华创证券,603078,江化微,江化微(603078)原材料成本上升，业绩短期承压-180212,http://www.51pdf.com.cn/report_gg_p99/,51pdf,
2018-02-12,国信证券,300170,汉得信息,汉得信息(300170)中国少数可以对标并超越国际巨头同行的IT公司-180212,http://www.51pdf.com.cn/report_gg_p99/,51pdf,
2018-02-12,海通证券,600048,保利地产,"保利地产(600048)公司公告点评：销售开门红,排名跻身前四强-180212",http://www.51pdf.com.cn/report_gg_p99/,51pdf,
2018-02-12,招商证券,002465,海格通信,海格通信（002465）大股东再次大手笔增持，长期投资价值凸显-180212,http://www.51pdf.com.cn/report_gg_p99/,51pdf,
2018-02-12,东北证券,300133,华策影视,华策影视（300133）打响内容品牌，龙头再次腾飞-180212,http://www.51pdf.com.cn/report_gg_p99/,51pdf,
2018-02-12,东北证券,002376,新北洋,新北洋(002376)“3+N”战略持续推进，向下渗透打开市场天花板-180212,http://www.51pdf.com.cn/report_gg_p99/,51pdf,
2018-02-12,国联证券,300188,美亚柏科,美亚柏科（300188）电子取证和大数据业务助力业绩快速增长-180212,http://www.51pdf.com.cn/report_gg_p99/,51pdf,
2018-02-12,国联证券,300463,迈克生物,迈克生物（300463）设立山西迈克，深度布局西北区-180212,http://www.51pdf.com.cn/report_gg_p100/,51pdf,
2018-02-12,平安证券,600077,宋都股份,宋都股份（600077）毛利率回升带动业绩走出低谷-180211,http://www.51pdf.com.cn/report_gg_p100/,51pdf,
2018-02-12,中信证券,600383,金地集团,金地集团(600383)2018年1月份经营情况点评：销售红利有望在利润表兑现，物业管理平台价值需重视-180212,http://www.51pdf.com.cn/report_gg_p100/,51pdf,
2018-02-12,东吴证券,000661,长春高新,长春高新（000661）扣非净利润增速38％符合预期，生长激素快速增长将带动公司进入高速发展期-180209,http://www.51pdf.com.cn/report_gg_p100/,51pdf,
2018-02-12,中信证券,001979,招商蛇口,招商蛇口（001979）2018年1月经营情况点评：国企优势小试牛刀，蛇口模式复制可期-180212,http://www.51pdf.com.cn/report_gg_p100/,51pdf,
2018-02-12,中信证券,000002,万科A,万科A（000002）2018年1月经营情况点评：稳扎稳打，应对不确定性-180212,http://www.51pdf.com.cn/report_gg_p100/,51pdf,
2018-02-12,海通证券,300031,宝通科技,"宝通科技(300031)公司公告点评：全球化战略稳步推进,管理层增持彰显长期经营信心-180212",http://www.51pdf.com.cn/report_gg_p100/,51pdf,
2018-02-12,东北证券,300448,浩云科技,浩云科技（300448）大股东巨额增持，看好公司长期发展-180211,http://www.51pdf.com.cn/report_gg_p100/,51pdf,
2018-02-12,东北证券,002567,唐人神,唐人神（002567）饲料、养殖双高增长，降费增效成果显著-180211,http://www.51pdf.com.cn/report_gg_p100/,51pdf,
2018-02-12,广发证券,002439,启明星辰,启明星辰（002439）发布业绩快报，基本符合预期-180212,http://www.51pdf.com.cn/report_gg_p100/,51pdf,
2018-02-12,方正证券,300166,东方国信,东方国信（300166）中山子公司成立在即，切实加快工业互联网应用创新业务落地-180209,http://www.51pdf.com.cn/report_gg_p100/,51pdf,
2018-02-12,天风证券,603939,益丰药房,益丰药房（603939）连锁药店的“工匠”，精细化管理典范-180212,http://www.51pdf.com.cn/report_gg_p100/,51pdf,
2018-02-12,国泰君安,000546,金圆股份,"金圆股份(000546)并购济宁危废处置中心项目-落子山东,危废版图扩至15省-180211",http://www.51pdf.com.cn/report_gg_p100/,51pdf,
2018-02-12,国泰君安,002024,苏宁易购,"苏宁易购(002024)公司事件点评：回购股票用于股权激励,智慧零售加速前行-180211",http://www.51pdf.com.cn/report_gg_p100/,51pdf,
2018-02-12,国泰君安,002705,新宝股份,新宝股份(002705)2017年报业绩快报点评：收入增长稳健，汇率的负面影响超预期-180212,http://www.51pdf.com.cn/report_gg_p100/,51pdf,
2018-02-12,国泰君安,601238,广汽集团,广汽集团(601238)控股股东计划增持公司股份事件点评：增持注入强心剂-180211,http://www.51pdf.com.cn/report_gg_p100/,51pdf,
2018-02-12,国泰君安,000888,峨眉山A,"峨眉山(000888)业绩增速符合预期,期间费用下降明显-180212",http://www.51pdf.com.cn/report_gg_p100/,51pdf,
2018-02-12,国泰君安,300296,利亚德,"利亚德(300296)股东增持凸显信心,订单在手业绩无忧-180212",http://www.51pdf.com.cn/report_gg_p100/,51pdf,
2018-02-12,太平洋证券,002434,万里扬,万里扬（002434）拟回购公司股票，保护股东利益-180211,http://www.51pdf.com.cn/report_gg_p100/,51pdf,
2018-02-12,中金公司,002413,雷科防务,雷科防务(002413)业绩快报符合预期，关注军民融合与资产整合进展-180212,http://www.51pdf.com.cn/report_gg_p100/,51pdf,
2018-02-12,中金公司,002024,苏宁易购,苏宁易购(002024)推出10亿元回购计划用于员工激励，大象起舞可期-180212,http://www.51pdf.com.cn/report_gg_p101/,51pdf,
2018-02-12,中金公司,300369,绿盟科技,绿盟科技(300369)创始人成第一大股东，理顺机制后有望重获增长动能-180212,http://www.51pdf.com.cn/report_gg_p101/,51pdf,
2018-02-12,中金公司,002714,牧原股份,牧原股份(002714)业绩符合预期，以量补价凸显成长-180212,http://www.51pdf.com.cn/report_gg_p101/,51pdf,
2018-02-12,中金公司,601799,星宇股份,星宇股份(601799)拟进行第三次员工持股计划，传达管理层信心-180212,http://www.51pdf.com.cn/report_gg_p101/,51pdf,
2018-02-12,中金公司,002705,新宝股份,新宝股份(002705)人民币升值超预期导致业绩低于预期-180212,http://www.51pdf.com.cn/report_gg_p101/,51pdf,
2018-02-12,中金公司,601006,大秦铁路,大秦铁路(601006)受春节错期影响，1月同比增速较高-180212,http://www.51pdf.com.cn/report_gg_p101/,51pdf,
2018-02-12,中金公司,601601,中国太保,中国太保(601601)主力保障型业务两位数增长，代理人稳定性好于预期-180212,http://www.51pdf.com.cn/report_gg_p101/,51pdf,
2018-02-12,中金公司,000099,中信海直,中信海直(000099)多元发展逐步推进，主业受益油价回升-180212,http://www.51pdf.com.cn/report_gg_p101/,51pdf,
2018-02-12,光大证券,600216,浙江医药,浙江医药（600216）公司拐点向上，短期维生素业绩弹性巨大-180211,http://www.51pdf.com.cn/report_gg_p101/,51pdf,
2018-02-12,招商证券,300369,绿盟科技,绿盟科技（300369）创始人终成大股东，新起点到来！-180211,http://www.51pdf.com.cn/report_gg_p101/,51pdf,
2018-02-12,太平洋证券,002669,康达新材,康达新材（002669）胶粘剂业务有望盈利回升，并购切入军工领域打开成长空间-180212,http://www.51pdf.com.cn/report_gg_p101/,51pdf,
2018-02-12,海通证券,002281,光迅科技,"光迅科技(002281)公司深度报告-稳中快进打造光器件龙头,紧跟国家战略引领“芯“突破-180211",http://www.51pdf.com.cn/report_gg_p101/,51pdf,
2018-02-12,华创证券,300261,雅本化学,雅本化学(300261)农药景气度持续叠加产能投放，全年业绩有望快速增长-180211,http://www.51pdf.com.cn/report_gg_p101/,51pdf,
2018-02-12,招商证券,600809,山西汾酒,山西汾酒（600809）改革步伐加快，开局势头良好-180211,http://www.51pdf.com.cn/report_gg_p101/,51pdf,
2018-02-12,华创证券,600809,山西汾酒,山西汾酒(600809)国改持续推进，营销管理大变革-180211,http://www.51pdf.com.cn/report_gg_p101/,51pdf,
2018-02-12,招商证券,002439,启明星辰,启明星辰（002439）业务稳健，蓄力腾飞-180211,http://www.51pdf.com.cn/report_gg_p101/,51pdf,
2018-02-12,招商证券,600219,南山铝业,南山铝业（600219）2017年报点评：高端铝材持续放量 奠定公司国内领先地位-180211,http://www.51pdf.com.cn/report_gg_p101/,51pdf,
2018-02-12,招商证券,000063,中兴通讯,中兴通讯（000063）转让中兴软创部分股权，牵手阿里资本打开合作空间-180211,http://www.51pdf.com.cn/report_gg_p101/,51pdf,
2018-02-12,中泰证券,600986,科达股份,科达股份（600986）数字营销延续高增长，股份回购彰显信心-180211,http://www.51pdf.com.cn/report_gg_p101/,51pdf,
2018-02-12,太平洋证券,002403,爱仕达,爱仕达（002403）大额回购股份彰显公司信心，看好公司各项业务布局-180209,http://www.51pdf.com.cn/report_gg_p101/,51pdf,
2018-02-12,华创证券,000661,长春高新,长春高新(000661)2017年年报点评：生物类药品快速增长，业绩符合预期-180209,http://www.51pdf.com.cn/report_gg_p102/,51pdf,
2018-02-12,华创证券,300523,辰安科技,辰安科技(300523)事件点评：武汉成立子公司，城市生命线有望实现异地扩张-180210,http://www.51pdf.com.cn/report_gg_p102/,51pdf,
2018-02-12,华创证券,000525,红太阳,红太阳(000525)业绩增长超预期，新产能投放颠覆行业格局，产品梯队丰富助力公司腾飞-180210,http://www.51pdf.com.cn/report_gg_p102/,51pdf,
