2018-02-24,兴业证券,000661,长春高新,"长春高新(000661)业绩符合预期,未来有望持续较快增长-180209",webcache\20180225\webcache-20180302224156.html,51pdf,
2018-02-24,招商证券,000932,*ST华菱,＊ST华菱(000932)摘帽行情值得期待-180223,webcache\20180225\webcache-20180302224156.html,51pdf,
2018-02-24,招商证券,600383,金地集团,金地集团(600383)兼具低估值高成长优势，治理结构不确定性有望逐步消除-180223,webcache\20180225\webcache-20180302224156.html,51pdf,
2018-02-24,招商证券,600282,南钢股份,南钢股份(600282)优质民企，业绩创上市以来最优-180223,webcache\20180225\webcache-20180302224156.html,51pdf,
2018-02-24,国海证券,002304,洋河股份,洋河股份(002304)结构升级明显，梦之蓝快速增长-180223,webcache\20180225\webcache-20180302224156.html,51pdf,
2018-02-24,申万宏源,002859,洁美科技,洁美科技(002859)掘金小龙头系列：纸质载带龙头携优势再出发，横纵向扩张打造电子产业隐形冠军-180212,webcache\20180225\webcache-20180302224156.html,51pdf,
2018-02-24,申万宏源,002707,众信旅游,众信旅游(002707)四季度业绩高恢复增长，亚洲地区出境游复苏明显-180223,webcache\20180225\webcache-20180302224156.html,51pdf,
2018-02-24,财通证券,002440,闰土股份,闰土股份（002440）全产业链一体化的国内染料龙头-180222,webcache\20180225\webcache-20180302224156.html,51pdf,
2018-02-24,天风证券,600057,象屿股份,象屿股份（600057）供应链物流服务商强势崛起！-180223,webcache\20180225\webcache-20180302224156.html,51pdf,
2018-02-24,天风证券,600009,上海机场,上海机场（600009）消费升级浪潮促非航高速增长，继续看好业绩空间-180224,webcache\20180225\webcache-20180302224156.html,51pdf,
2018-02-24,光大证券,002251,步步高,步步高（002251）腾讯系入股，有利于构筑数字化运营体系-180223,webcache\20180224\webcache-20180302224157.html,51pdf,
2018-02-24,广发证券,002677,浙江美大,浙江美大（002677）业绩增长超预期，行业景气度持续提升-180224,webcache\20180224\webcache-20180302224157.html,51pdf,
2018-02-24,财通证券,002440,闰土股份,闰土股份（002440）全产业链一体化的国内染料龙头-180222,,51pdf,
2018-02-24,广发证券,002677,浙江美大,浙江美大（002677）业绩增长超预期，行业景气度持续提升-180224,,51pdf,
2018-02-24,国海证券,002304,洋河股份,洋河股份(002304)结构升级明显，梦之蓝快速增长-180223,,51pdf,
2018-02-24,申万宏源,002707,众信旅游,众信旅游(002707)四季度业绩高恢复增长，亚洲地区出境游复苏明显-180223,,51pdf,
2018-02-24,天风证券,600009,上海机场,上海机场（600009）消费升级浪潮促非航高速增长，继续看好业绩空间-180224,,51pdf,
2018-02-24,天风证券,600057,象屿股份,象屿股份（600057）供应链物流服务商强势崛起！-180223,,51pdf,
2018-02-24,广发证券,600406,国电南瑞,"   
    投资建议   
    2018年国网电网建设将继续向特高压、配电网建设和智能化倾斜,建议关注国电南瑞、金智科技、许继电气",webcache\20180224\webcache-20180302231806.html,sina,
2018-02-24,广发证券,000400,许继电气,"   
    投资建议   
    2018年国网电网建设将继续向特高压、配电网建设和智能化倾斜,建议关注国电南瑞、金智科技、许继电气",webcache\20180224\webcache-20180302231806.html,sina,
2018-02-24,广发证券,002090,金智科技,"   
    投资建议   
    2018年国网电网建设将继续向特高压、配电网建设和智能化倾斜,建议关注国电南瑞、金智科技、许继电气",webcache\20180224\webcache-20180302231806.html,sina,
2018-02-24,申万宏源,002185,华天科技,"作为上游的半导体将是弹性最大的板块,尤其关注全球化程度最高,业绩释放最容易,估值有优势的封测领域,推荐华天科技",webcache\20180224\webcache-20180302231806.html,sina,
2018-02-24,申万宏源,002185,华天科技,"作为上游的半导体将是弹性最大的板块,尤其关注全球化程度最高,业绩释放最容易,估值有优势的封测领域,推荐华天科技",webcache\20180224\webcache-20180302231806.html,sina,
2018-02-24,申万宏源,002185,华天科技,"作为上游的半导体将是弹性最大的板块,尤其关注全球化程度最高,业绩释放最容易,估值有优势的封测领域,推荐华天科技",webcache\20180224\webcache-20180302231806.html,sina,
2018-02-24,申万宏源,002185,华天科技,"   
    当前正值产业底部,电子偏周期属性、稳定成长标的估值亦具有吸引力,建议逐步加大对电子/半导体产业的配置,关注能够最大受益于景气复苏的领域,标的推荐华天科技",webcache\20180224\webcache-20180302231806.html,sina,
2018-02-24,申万宏源,002185,华天科技,"   
    当前正值产业底部,电子偏周期属性、稳定成长标的估值亦具有吸引力,建议逐步加大对电子/半导体产业的配置,关注能够最大受益于景气复苏的领域,标的推荐华天科技",webcache\20180224\webcache-20180302231806.html,sina,
2018-02-24,申万宏源,002185,华天科技,"   
    当前正值产业底部,电子偏周期属性、稳定成长标的估值亦具有吸引力,建议逐步加大对电子/半导体产业的配置,关注能够最大受益于景气复苏的领域,标的推荐华天科技",webcache\20180224\webcache-20180302231806.html,sina,
2018-02-24,申万宏源,600563,法拉电子,"能够受益于景气复苏的下游领域主要是产值占比大的智能手机、PC、工业和汽车,推荐关注在相关领域市占率高,估值处平均以下的白马标的,如蓝思科技、歌儿股份、法拉电子和依顿电子等",webcache\20180224\webcache-20180302231806.html,sina,
2018-02-24,申万宏源,603328,依顿电子,"能够受益于景气复苏的下游领域主要是产值占比大的智能手机、PC、工业和汽车,推荐关注在相关领域市占率高,估值处平均以下的白马标的,如蓝思科技、歌儿股份、法拉电子和依顿电子等",webcache\20180224\webcache-20180302231806.html,sina,
2018-02-24,申万宏源,300433,蓝思科技,"能够受益于景气复苏的下游领域主要是产值占比大的智能手机、PC、工业和汽车,推荐关注在相关领域市占率高,估值处平均以下的白马标的,如蓝思科技、歌儿股份、法拉电子和依顿电子等",webcache\20180224\webcache-20180302231806.html,sina,
2018-02-24,申万宏源,600563,法拉电子,"能够受益于景气复苏的下游领域主要是产值占比大的智能手机、PC、工业和汽车,推荐关注在相关领域市占率高,估值处平均以下的白马标的,如蓝思科技、歌儿股份、法拉电子和依顿电子等",webcache\20180224\webcache-20180302231806.html,sina,
2018-02-24,申万宏源,603328,依顿电子,"能够受益于景气复苏的下游领域主要是产值占比大的智能手机、PC、工业和汽车,推荐关注在相关领域市占率高,估值处平均以下的白马标的,如蓝思科技、歌儿股份、法拉电子和依顿电子等",webcache\20180224\webcache-20180302231806.html,sina,
2018-02-24,申万宏源,300433,蓝思科技,"能够受益于景气复苏的下游领域主要是产值占比大的智能手机、PC、工业和汽车,推荐关注在相关领域市占率高,估值处平均以下的白马标的,如蓝思科技、歌儿股份、法拉电子和依顿电子等",webcache\20180224\webcache-20180302231806.html,sina,
2018-02-24,申万宏源,600563,法拉电子,"能够受益于景气复苏的下游领域主要是产值占比大的智能手机、PC、工业和汽车,推荐关注在相关领域市占率高,估值处平均以下的白马标的,如蓝思科技、歌儿股份、法拉电子和依顿电子等",webcache\20180224\webcache-20180302231806.html,sina,
2018-02-24,申万宏源,603328,依顿电子,"能够受益于景气复苏的下游领域主要是产值占比大的智能手机、PC、工业和汽车,推荐关注在相关领域市占率高,估值处平均以下的白马标的,如蓝思科技、歌儿股份、法拉电子和依顿电子等",webcache\20180224\webcache-20180302231806.html,sina,
2018-02-24,申万宏源,300433,蓝思科技,"能够受益于景气复苏的下游领域主要是产值占比大的智能手机、PC、工业和汽车,推荐关注在相关领域市占率高,估值处平均以下的白马标的,如蓝思科技、歌儿股份、法拉电子和依顿电子等",webcache\20180224\webcache-20180302231806.html,sina,
